time_ms,iso_utc,funding_rate_hourly,premium
1777593600045,2026-05-01T00:00:00.045000+00:00,0.0000125,0.0000010252
1777597200040,2026-05-01T01:00:00.040000+00:00,0.0000125,-0.0000108068
1777600800073,2026-05-01T02:00:00.073000+00:00,0.0000125,-0.0001737358
1777604400003,2026-05-01T03:00:00.003000+00:00,0.0000125,-0.0000982359
1777608000097,2026-05-01T04:00:00.097000+00:00,0.0000125,-0.0000494086
1777611600029,2026-05-01T05:00:00.029000+00:00,0.0000125,-0.0000963484
1777615200052,2026-05-01T06:00:00.052000+00:00,0.0000125,-0.0002305745
1777618800028,2026-05-01T07:00:00.028000+00:00,0.0000125,-0.0000882092
1777622400049,2026-05-01T08:00:00.049000+00:00,0.0000125,-0.0001181574
1777626000046,2026-05-01T09:00:00.046000+00:00,0.0000125,-0.0000776034
1777629600063,2026-05-01T10:00:00.063000+00:00,0.0000125,-0.0000837955
1777633200046,2026-05-01T11:00:00.046000+00:00,0.0000125,-0.0000166594
1777636800012,2026-05-01T12:00:00.012000+00:00,0.0000125,0.0001835758
1777640400028,2026-05-01T13:00:00.028000+00:00,0.0000125,0.0001465719
1777644000051,2026-05-01T14:00:00.051000+00:00,0.0000125,0.0000298596
1777647600002,2026-05-01T15:00:00.002000+00:00,0.0000125,0.0000160402
1777651200055,2026-05-01T16:00:00.055000+00:00,0.0000125,-0.0001196335
1777654800055,2026-05-01T17:00:00.055000+00:00,0.0000125,-0.0002349233
1777658400043,2026-05-01T18:00:00.043000+00:00,0.0000125,-0.0001357834
1777662000031,2026-05-01T19:00:00.031000+00:00,0.0000125,0.0001884234
1777665600011,2026-05-01T20:00:00.011000+00:00,0.0000125,0.0000132717
1777669200059,2026-05-01T21:00:00.059000+00:00,0.0000125,-0.0000159663
1777672800054,2026-05-01T22:00:00.054000+00:00,0.0000125,-0.0002722495
1777676400002,2026-05-01T23:00:00.002000+00:00,0.0000125,-0.0000020501
1777680000010,2026-05-02T00:00:00.010000+00:00,0.0000125,0.0000144259
1777683600070,2026-05-02T01:00:00.070000+00:00,0.0000125,-0.0000012974
1777687200056,2026-05-02T02:00:00.056000+00:00,0.0000125,-0.0000157484
1777690800038,2026-05-02T03:00:00.038000+00:00,0.0000125,-0.0001079001
1777694400019,2026-05-02T04:00:00.019000+00:00,0.0000125,-0.0000052513
1777698000004,2026-05-02T05:00:00.004000+00:00,0.0000125,-0.0000130227
1777701600040,2026-05-02T06:00:00.040000+00:00,0.0000125,-0.0000301252
1777705200044,2026-05-02T07:00:00.044000+00:00,0.0000125,-0.000105519
1777708800031,2026-05-02T08:00:00.031000+00:00,0.0000125,-0.0000156451
1777712400002,2026-05-02T09:00:00.002000+00:00,0.0000125,0.0000098418
1777716000010,2026-05-02T10:00:00.010000+00:00,0.0000125,-0.0000003009
1777719600041,2026-05-02T11:00:00.041000+00:00,0.0000125,-0.0000482107
1777723200048,2026-05-02T12:00:00.048000+00:00,0.0000125,-0.0000382352
1777726800017,2026-05-02T13:00:00.017000+00:00,0.0000125,-0.0000964794
1777730400025,2026-05-02T14:00:00.025000+00:00,0.0000125,-0.0000101979
1777734000021,2026-05-02T15:00:00.021000+00:00,0.0000125,0.0000279258
1777737600033,2026-05-02T16:00:00.033000+00:00,0.0000125,0.0000405007
1777741200048,2026-05-02T17:00:00.048000+00:00,0.0000125,0.0000425756
1777744800025,2026-05-02T18:00:00.025000+00:00,0.0000125,0.0000951569
1777748400038,2026-05-02T19:00:00.038000+00:00,0.0000125,0.0000151706
1777752000064,2026-05-02T20:00:00.064000+00:00,0.0000125,0.0000046623
1777755600020,2026-05-02T21:00:00.020000+00:00,0.0000125,0.0000102116
1777759200000,2026-05-02T22:00:00+00:00,0.0000125,0.000041556
1777762800067,2026-05-02T23:00:00.067000+00:00,0.0000125,0.0005390455
1777766400049,2026-05-03T00:00:00.049000+00:00,0.0000125,0.0002813746
1777770000025,2026-05-03T01:00:00.025000+00:00,0.0000125,0.0001947434
1777773600016,2026-05-03T02:00:00.016000+00:00,0.0000125,0.0001770832
1777777200053,2026-05-03T03:00:00.053000+00:00,0.0000125,0.000214171
1777780800034,2026-05-03T04:00:00.034000+00:00,0.0000125,0.0001984289
1777784400010,2026-05-03T05:00:00.010000+00:00,0.0000125,0.0002602227
1777788000024,2026-05-03T06:00:00.024000+00:00,0.0000125,0.000108165
1777791600004,2026-05-03T07:00:00.004000+00:00,0.0000125,0.0000039869
1777795200037,2026-05-03T08:00:00.037000+00:00,0.0000125,0.0000036607
1777798800018,2026-05-03T09:00:00.018000+00:00,0.0000125,0.0000189529
1777802400038,2026-05-03T10:00:00.038000+00:00,0.0000125,0.0000222176
1777806000052,2026-05-03T11:00:00.052000+00:00,0.0000125,0.000004146
1777809600047,2026-05-03T12:00:00.047000+00:00,0.0000125,0.0000458747
1777813200005,2026-05-03T13:00:00.005000+00:00,0.0000125,0.0000208377
1777816800027,2026-05-03T14:00:00.027000+00:00,0.0000125,-0.0000349266
1777820400059,2026-05-03T15:00:00.059000+00:00,0.0000125,-0.000000748
1777824000054,2026-05-03T16:00:00.054000+00:00,0.0000125,0.0000231648
1777827600044,2026-05-03T17:00:00.044000+00:00,0.0000125,0.0000133384
1777831200060,2026-05-03T18:00:00.060000+00:00,0.0000125,0.000025555
1777834800014,2026-05-03T19:00:00.014000+00:00,0.0000125,0.000013441
1777838400040,2026-05-03T20:00:00.040000+00:00,0.0000125,0.0000753447
1777842000037,2026-05-03T21:00:00.037000+00:00,0.0000125,0.0000915242
1777845600024,2026-05-03T22:00:00.024000+00:00,0.0000125,0.0000599708
1777849200039,2026-05-03T23:00:00.039000+00:00,0.0000125,0.0002314157
1777852800030,2026-05-04T00:00:00.030000+00:00,0.0000125,0.0002211558
1777856400063,2026-05-04T01:00:00.063000+00:00,0.0000125,0.0001521823
1777860000059,2026-05-04T02:00:00.059000+00:00,0.0000125,0.0000973191
1777863600012,2026-05-04T03:00:00.012000+00:00,0.0000125,0.0002255958
1777867200014,2026-05-04T04:00:00.014000+00:00,0.0000125,0.000314953
