trial,mint_ts,burn_ts_r01,burn_ts_eng,boundary_differs,a0_r01,a0_chain,a0_r01_at_chain_price,a0_diff_pct,a0_resid_pct_after_price_fix,p_entry_err_bp,amplification_bp_per_bp,p_entry_r01,p_exit_r01,p_entry_chain,p_exit_chain,dP_r01,dP_chain,s0_r01,s1_chain_amount,eng_reported,amount_effect,price_effect,total_diff,cause
5,2026-05-14 05:02:06.849000+00:00,2026-05-14 07:02:08.179000+00:00,2026-05-14 07:02:08.179000+00:00,False,0.25146208831746736,0.25145720851558523,0.25150911659781927,-0.0019405716045639565,-0.02063864838627305,0.01040998364176815,-179.59216825352397,2256.172,2268.6226666666666,2256.1696513310835,2268.6922432065357,12.45066666666662,12.522591875452235,3.130870640944636,3.130809884158035,3.147408955503124,-6.075678660089068e-05,0.0180861122231315,0.01653831455848831,price source: Binance@row-ts vs pool@block
5,2026-05-14 08:02:13.480000+00:00,2026-05-14 10:02:06.677000+00:00,2026-05-14 10:02:06.677000+00:00,False,0.22850857475404457,0.2352061627220692,0.23499096344733825,2.931000718565424,0.09157768093459584,1.4868996253025735,-185.53888863786062,2265.9578333333334,2259.432,2265.620958237945,2259.0015648192525,-6.525833333333594,-6.619393418692653,-1.491208874082531,-1.5349162168971646,-1.5561624020342606,-0.04370734281463351,-0.022005908661253404,-0.06495352795172948,amount: ETH leg inverted at an off-chain price
5,2026-05-14 11:02:07.712000+00:00,2026-05-14 13:02:06.498000+00:00,2026-05-14 13:02:06.498000+00:00,False,0.23087013965869693,0.25434850638997397,0.2542549347648044,10.169512075483599,0.03680228478402103,5.200024584390839,-176.98829486404776,2263.937,2261.3590000000004,2262.760359050435,2260.1198681308547,-2.57799999999952,-2.6404909195803157,-0.5951832200399849,-0.6557104494732308,-0.6712923852913946,-0.060527229433245844,-0.015894472058311404,-0.07610916525140965,amount: ETH leg inverted at an off-chain price
5,2026-05-14 14:02:07.282000+00:00,2026-05-14 16:02:07.031000+00:00,2026-05-14 16:02:07.031000+00:00,False,0.23155937374208604,0.25092507817247417,0.2507258637722489,8.363170152618359,0.07945506587474505,4.268106841722741,-179.19657625570906,2254.8486666666663,2297.8436666666666,2253.8866837491287,2297.694196747392,42.995000000000346,43.80751299826352,9.955895274041154,10.788523736025613,10.987224046859069,0.8326284619844593,0.20387988760533915,1.0313287728179148,amount: ETH leg inverted at an off-chain price
5,2026-05-14 17:02:12.744000+00:00,2026-05-14 19:02:07.115000+00:00,2026-05-14 19:02:07.115000+00:00,False,0.2146110734515707,0.21757870117616424,0.21769148724218745,1.3827933838014284,-0.05181004891465779,0.7520910372948997,-188.13978023671018,2314.048,2310.5066666666667,2313.873975612151,2311.506144224808,-3.541333333333114,-2.3678313873429033,-0.7600093481165686,-0.7705187070984751,-0.5149347403657885,-0.010509358981906525,0.2553290292362512,0.24507460775078016,price source: Binance@row-ts vs pool@block
5,2026-05-14 20:02:07.921000+00:00,2026-05-14 22:02:07.915000+00:00,2026-05-14 22:02:07.915000+00:00,False,0.2307283768965367,0.22564282531385366,0.22569151441915036,-2.204129223759721,-0.021573299032540127,-1.1339675794763693,-196.7451216749272,2298.0135,2296.2355000000002,2298.274116833724,2296.51120485912,-1.7779999999997926,-1.7629119746038668,-0.4102350541219266,-0.401192943407985,-0.39758254550099537,0.00904211071394162,0.0034045046787438693,0.012652508620931258,amount: ETH leg inverted at an off-chain price
5,2026-05-14 23:02:09.206000+00:00,2026-05-15 01:02:37.959000+00:00,2026-05-15 01:02:37.959000+00:00,False,0.2569510187329438,0.2520700774518731,0.25194699905596,-1.8995609766947807,0.04885090768067535,-1.1262191934047205,-176.29458572330225,2296.6455,2294.075,2296.9041817574907,2293.3368054532857,-2.5705000000002656,-3.567376304205027,-0.6604925936532027,-0.6479461340901067,-0.8988120080011868,0.012546459563095969,-0.25128268721083125,-0.2383194143479841,price source: Binance@row-ts vs pool@block
5,2026-05-15 02:02:11.860000+00:00,2026-05-15 04:02:04.588000+00:00,2026-05-15 04:02:04.588000+00:00,False,0.22489011270645273,0.2121274141157437,0.2121499036118597,-5.675082126606457,-0.010600757168921504,-3.180785115795004,-188.67606350654654,2274.1836666666663,2271.3013333333333,2274.9072657837482,2272.0911925228397,-2.8823333333330083,-2.8160732609085244,-0.6482082681908423,-0.611421916619543,-0.5970698897428974,0.03678635157129928,0.014055577822527754,0.05113837844794489,amount: ETH leg inverted at an off-chain price
4,2026-05-12 18:02:06.275000+00:00,2026-05-12 19:02:07.483000+00:00,2026-05-12 19:02:07.483000+00:00,False,0.21520062595173844,0.237984946054515,0.23801931422026387,10.587478545664752,-0.014439234001428769,5.0681587419787455,-189.27595141271735,2278.376,2280.8035,2277.2218678083245,2279.766582333637,2.4274999999997817,2.544714525312429,0.5223995194977533,0.5777084565472832,0.6053022514586246,0.05530893704952988,0.027895292483336,0.08290273196087128,amount: ETH leg inverted at an off-chain price
4,2026-05-12 20:02:06.949000+00:00,2026-05-12 21:02:07.435000+00:00,2026-05-12 21:02:07.435000+00:00,False,0.20838367207435216,0.22158929866126578,0.2216444303568075,6.337169537065179,-0.02487393680633554,2.9548129122813904,-202.5379554058515,2285.537,2285.5171666666665,2284.861866065537,2284.749374167938,-0.01983333333328119,-0.11249189759882938,-0.004132942829414787,-0.004394854423436884,-0.02491371681765031,-0.00026191159402209636,-0.02053214627056265,-0.020780773988235524,price source: Binance@row-ts vs pool@block
