cycle,mint_ts,burn_ts,hours,lower_tick,upper_tick,price_lower,price_upper,L_human,L_source,mint_block,burn_block,p_entry_chain,p_exit_chain,p_entry_bn,p_exit_bn,amount0_mint_eth,amount1_mint_usdc,amount0_burn_eth,amount1_burn_usdc,v0_usd,fees_modelled_usd,fees_recorded_usd,fees_onchain_usd,n_swaps,n_swaps_in_range,volume_usd,volume_in_range_usd,mean_liquidity_share,time_in_range_frac,il_chain_usd,basket_delta_chain_usd,il_binance_usd,basket_delta_binance_usd,il_exact_usd,basket_delta_exact_usd,exited_range,frac_eth_entry,frac_eth_exit,n_orphan_exits
1,2026-05-14 05:02:06.849000+00:00,2026-05-14 07:02:08.179000+00:00,2.0003694444444444,-199150,-199050,2246.2426269752773,2268.816606354992,4277.419273628598,onchain_mint,462632251,462660978,2256.1696513310835,2268.6922432065357,2257.0,2268.77,0.25145720851558523,447.201623,0.002579996638457838,1010.266972,1014.5317454612955,0.4426341436046253,0.4367646427033386,0.4367646427033567,1006,528,3318169.030863,1766837.8956730003,0.00035073277118037463,0.5566600397614314,-1.5604499315567182,3.147408955503124,-1.3780029454487703,2.763283171167245,-1.5604510965082454,3.148895996381043,False,0.5589398339703056,0.005495324887777817,0
2,2026-05-14 08:02:13.480000+00:00,2026-05-14 10:02:06.677000+00:00,1.9981102777777777,-199110,-199010,2255.245140389088,2277.909591986598,4142.918273791842,onchain_mint,462675397,462704158,2265.620958237945,2259.0015648192525,2264.07,2259.63,0.2352061627220692,451.807301,0.3626346739554007,163.524653,984.6953127698446,0.6588916528768416,0.6607721946574533,0.6607721946573206,936,830,2991805.266836,2701663.543724003,0.0005796667146401767,0.8888888888888888,-0.4214411746179394,-1.5561624020342606,-0.18972028375890204,-1.1761763547511919,-0.4214417213165689,-1.556922125558458,False,0.5409063840957978,0.8333349303951084,0
3,2026-05-14 11:02:07.712000+00:00,2026-05-14 13:02:06.498000+00:00,1.9996627777777778,-199120,-199020,2252.991135137534,2275.63293474391,4269.703105361682,onchain_mint,462718594,462747404,2262.760359050435,2260.1198681308547,2263.46,2261.89,0.25434850638997397,438.644626,0.30676582672977604,320.106015,1014.1743436429193,0.8839297498366163,0.8858570430030404,0.8858570430030914,1322,1126,4261444.841019999,3562968.7777599986,0.0005653108935087616,0.8532526475037822,-0.06918351606816486,-0.6712923852913946,-0.024441645951355895,-0.377361854697142,-0.06918386583367919,-0.6716049215315252,False,0.5672218926864859,0.6838729456638947,0
4,2026-05-14 14:02:07.282000+00:00,2026-05-14 16:02:07.031000+00:00,1.9999302777777777,-199160,-199060,2243.9976192877343,2266.549037098793,4256.751936550775,onchain_mint,462761817,462790755,2253.8866837491287,2297.694196747392,2253.93,2298.78,0.25092507817247417,443.561418,0.0,1010.705286,1009.1181103116487,0.7944274297484789,0.7982913565465717,0.7982913565466243,3448,1076,11495139.765928,3182123.322781999,0.00020781971060108745,0.31496519721577726,-9.401545580191623,10.987224046859069,-9.635212245616572,11.21004539747912,-9.40522793527964,10.992403623630935,True,0.5601823993405541,0.0,0
5,2026-05-14 17:02:12.744000+00:00,2026-05-14 19:02:07.115000+00:00,1.998436388888889,-198900,-198800,2303.1036511148077,2326.249064573379,3927.628881896897,onchain_mint,462805200,462833977,2313.873975612151,2311.506144224808,2315.76,2310.33,0.21757870117616424,439.966653,0.2593882174531332,343.274212,943.4163472990193,1.5073002912859956,1.5098426962302107,1.5098426962301827,2691,2109,8813798.490702,6813761.504637998,0.0004626850773184221,0.7840951319212188,-0.049486268273767564,-0.5149347403657885,-0.2601081109473853,-1.0003199486936865,-0.049487238719393645,-0.5151896778621676,False,0.5333812241301858,0.6356550375867882,0
6,2026-05-14 20:02:07.921000+00:00,2026-05-14 22:02:07.915000+00:00,1.9999983333333333,-198970,-198870,2287.0390205759404,2310.02298992595,4246.141138160452,onchain_mint,462848362,462877155,2298.274116833724,2296.51120485912,2296.98,2296.58,0.22564282531385366,497.895237,0.25963212790745177,419.808468,1016.4843020680632,0.9135423440042196,0.9146508771080321,0.9146508771079054,1216,1216,3758398.0043409998,3758398.004340989,0.0006478275469636338,1.0,-0.029954325979701935,-0.39758254550099537,-0.001542990432312763,-0.10019079664004948,-0.02995474845465651,-0.39778843872932157,False,0.5099150522623763,0.5865615938597208,0
7,2026-05-14 23:02:09.206000+00:00,2026-05-15 01:02:37.959000+00:00,2.0079869444444443,-198970,-198870,2287.0390205759404,2310.02298992595,4246.444597227539,onchain_mint,462891538,462920305,2296.9041817574907,2293.3368054532857,2296.28,2294.19,0.2520700774518731,437.248906,0.3209569260745947,279.145335,1016.2297209951419,1.0335332606435748,1.038420168838738,1.038420168838749,1530,1245,5284984.182381,4256248.606353998,0.0005286128864024253,0.8150326797385621,-0.12282488692892457,-0.8988120080011868,-0.04216188130089904,-0.5517510060359427,-0.12282564182351052,-0.8992288213009942,False,0.569470103144524,0.7247719554606862,0
8,2026-05-15 02:02:11.860000+00:00,2026-05-15 04:02:04.588000+00:00,1.99798,-199070,-198970,2264.283734165186,2287.0390205759404,3807.728442889694,onchain_mint,462934686,462963448,2274.9072657837482,2272.0911925228397,2274.2,2269.78,0.2121274141157437,424.312545,,,906.8827406438234,1.5748166352360142,1.5764268593486461,,2107,1992,7532381.362757999,7099689.413141002,0.0005593961637473113,0.9458946369245372,-0.0696173069698034,-0.5970698897428974,-0.1716452956387684,-0.9920077480713871,,,False,0.5318556564266302,0.655590954774341,1
