timestamp,position_state,three_head_action,three_head_action_label,three_head_q_gap,requested_width,selected_width,env_action,applied_action,applied_action_label,effective_action,reward,reward_usd,fee_usd,gross_fee_carry_usd,lp_value_change_usd,hedge_pnl_usd,swing_pnl_usd,raw_lp_value_change_usd,raw_hedge_pnl_usd,raw_swing_pnl_usd,raw_boundary_il_usd,realized_boundary_pnl_usd,pending_boundary_pnl_usd,funding_cost_usd,hedged_core_pnl_usd,net_before_tx_usd,net_after_tx_usd,tx_cost_usd,portfolio_value,close_now_portfolio_value,is_cash_after,next_position_state,natr_14,bb_width,volume_sma_ratio,vol_regime,paper_signal_ratio,paper_signal_flag,hedge_accounting_mode,masked_invalid_action,recenter_cooldown_blocked,recenter_cooldown_hours,recenter_emergency_oor_sigma,hours_since_rebalance,oor_distance_to_boundary_sigma,hodl_value,price,lp_lower,lp_upper,lp_width_label
2026-04-11 00:00:00+00:00,cash,3,enter_w10,0.0,10,10,3,3,enter_w10,enter_w10,-2.302636463909713e-05,-0.02302636463909713,0.536629554208398,0.20452624463172425,0.8516543503794765,-1.0792069596502978,-0.22755260927082133,0.8516543503794765,-1.0792069596502978,-0.22755260927082133,-0.3536199947475325,0.0,0.0,0.00210330957667376,-0.2296559188474951,0.3069736353609029,-0.02302636463909713,0.33,999.9769736353609,999.9769736353609,0,lp_in_range,0.007493820507079363,0.04736587032675743,0.29793694615364075,1.0,1.0,0.0,continuous_delta_hedged,0,0,0.0,2.5,0.0,0.0,1000.0,2239.666036499232,2216.3452305160026,2261.116113167816,W10
2026-04-11 01:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.00018167588659467638,0.18167588659467637,0.2968469158376206,0.2962934272030303,0.15405840602272747,-0.2686759466310814,-0.11461754060835394,0.15405840602272747,-0.2686759466310814,-0.11461754060835394,-0.7493823758931057,0.0,0.0,0.0005534886345902468,-0.11517102924294419,0.18167588659467637,0.18167588659467637,0.0,1000.1586495219556,1000.1586495219556,0,lp_in_range,0.006971272639930248,0.04627295956015587,0.4331326186656952,1.0,0.9883284568786621,0.0,continuous_delta_hedged,0,0,0.0,2.5,1.0,0.0,1002.65986126468,2245.623237435536,2216.3452305160026,2261.116113167816,W10
2026-04-11 02:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.0002922541012773661,0.29225410127736606,0.4183454687731192,0.41780120076719013,-1.4391177128246682,1.3135706133348442,-0.125547099489824,-1.4391177128246682,1.3135706133348442,-0.125547099489824,-0.03810522480648615,0.0,0.0,0.000544268005929066,-0.1260913674957531,0.29225410127736606,0.29225410127736606,0.0,1000.4509036232329,1000.4509036232329,0,lp_in_range,0.006628037896007299,0.04336707666516304,0.31746503710746765,1.0,0.9372012615203857,0.0,continuous_delta_hedged,0,0,0.0,2.5,2.0,0.0,1003.8732339878654,2248.340787113269,2216.3452305160026,2261.116113167816,W10
2026-04-11 03:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.0002700558635303135,0.2700558635303135,0.37015919516887635,0.36796794786323195,0.8074056446502027,-0.9053177289831211,-0.09791208433291843,0.8074056446502027,-0.9053177289831211,-0.09791208433291843,-0.042204357672289916,0.0,0.0,0.002191247305644396,-0.10010333163856282,0.2700558635303135,0.2700558635303135,0.0,1000.7209594867631,1000.7209594867631,0,lp_in_range,0.006592656951397657,0.03763923794031143,0.39269912242889404,1.0,0.8397862911224365,0.0,continuous_delta_hedged,0,0,0.0,2.5,3.0,0.0,999.1276322702828,2237.7122241236466,2216.3452305160026,2261.116113167816,W10
2026-04-11 04:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.00019162322615304066,0.19162322615304067,0.4943097098203145,0.49108911338632605,-1.5718465563859354,1.27238066915265,-0.2994658872332854,-1.5718465563859354,1.27238066915265,-0.2994658872332854,-0.22902883618587566,0.0,0.0,0.0032205964339884793,-0.30268648366727385,0.19162322615304067,0.19162322615304067,0.0,1000.9125827129162,1000.9125827129162,0,lp_in_range,0.005749139003455639,0.031719598919153214,0.3182681202888489,1.0,0.731421172618866,0.0,continuous_delta_hedged,0,0,0.0,2.5,4.0,0.0,1000.9185026497823,2241.7231756883843,2216.3452305160026,2261.116113167816,W10
2026-04-11 05:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.000310239673577943,0.310239673577943,0.3931219840048009,0.38925695294456364,0.5172816919425713,-0.596298971309192,-0.07901727936662062,0.5172816919425713,-0.596298971309192,-0.07901727936662062,-0.08617307210920444,0.0,0.0,0.003865031060237306,-0.08288231042685792,0.310239673577943,0.310239673577943,0.0,1001.2228223864943,1001.2228223864943,0,lp_in_range,0.004984152968972921,0.026909025385975838,0.4259815216064453,0.0,0.6643685698509216,0.0,continuous_delta_hedged,0,0,0.0,2.5,5.0,0.0,997.8619648659793,2234.877551824724,2216.3452305160026,2261.116113167816,W10
2026-04-11 06:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.00012417380708086383,0.12417380708086384,0.1656274149127103,0.16208394452826097,-1.0892107679881065,1.0513006305407093,-0.03791013744739713,-1.0892107679881065,1.0513006305407093,-0.03791013744739713,-0.43494494371032033,0.0,0.0,0.0035434703844493243,-0.041453607831846456,0.12417380708086384,0.12417380708086384,0.0,1001.3469961935751,1001.3469961935751,0,lp_in_range,0.0043596504256129265,0.02077210694551468,0.32623589038848877,0.0,0.5518737435340881,0.0,continuous_delta_hedged,0,0,0.0,2.5,6.0,0.0,998.6882672145423,2236.72819313068,2216.3452305160026,2261.116113167816,W10
2026-04-11 07:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.0001453519164590358,0.1453519164590358,0.1758231584913857,0.17214557496128327,0.44669375289447544,-0.4734874113967229,-0.026793658502247464,0.44669375289447544,-0.4734874113967229,-0.026793658502247464,-0.2704139538020627,0.0,0.0,0.0036775835301024145,-0.03047124203234988,0.1453519164590358,0.1453519164590358,0.0,1001.4923481100342,1001.4923481100342,0,lp_in_range,0.004217630252242088,0.018610533326864243,0.15604889392852783,0.0,0.5366448760032654,0.0,continuous_delta_hedged,0,0,0.0,2.5,7.0,0.0,997.0542286677481,2233.0684924950947,2216.3452305160026,2261.116113167816,W10
2026-04-11 08:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.00018491363018953455,0.18491363018953455,0.7607208364036604,0.7589967405930852,2.0545162311296963,-2.628599341533247,-0.5740831104035506,2.0545162311296963,-2.628599341533247,-0.5740831104035506,-0.2207765754232014,0.0,0.0,0.001724095810575205,-0.5758072062141258,0.18491363018953455,0.18491363018953455,0.0,1001.6772617402237,1001.6772617402237,0,lp_in_range,0.003963983152061701,0.016582228243350983,0.17804206907749176,0.0,0.5227754712104797,0.0,continuous_delta_hedged,0,0,0.0,2.5,8.0,0.0,997.6769199302402,2234.463112966923,2216.3452305160026,2261.116113167816,W10
2026-04-11 09:00:00+00:00,lp_in_range,0,hold,0.0,0,0,0,0,hold,hold,0.0002445365611535048,0.24453656115350478,0.29469827632738066,0.2927552198409994,-0.5088403818790539,0.46062172319155925,-0.04821865868749464,-0.5088403818790539,0.46062172319155925,-0.04821865868749464,-0.013593987420449594,0.0,0.0,0.0019430564863812403,-0.05016171517387588,0.24453656115350478,0.24453656115350478,0.0,1001.9217983013771,1001.9217983013771,0,lp_in_range,0.004095993936061859,0.014740020036697388,0.7910922169685364,0.0,0.5028267502784729,0.0,continuous_delta_hedged,0,0,0.0,2.5,9.0,0.0,1002.1013894482961,2244.372447076039,2216.3452305160026,2261.116113167816,W10
