arm,half_width_ticks,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,full,2855.802777777778,-7802.4895881217435,-65.57166747370302,829.9739010601888,-7622.760523211432,116.19307316021936,-7351.658301572114,747.0588102684133,-272.77166688876196,25.328652360528377,1443061.3045018748,1249503.0111899406,2431,5288,22946095.60661425,2558794.1989850015,431665,9165128.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-05,743.9861111111111,-2967.4208023340525,-95.72503866995059,286.16505717020567,-2971.924399760441,103.22231771572646,-2978.1981016976806,213.88532262756777,6.067492965004018,6.5012700974816395,373342.73307205434,359003.07202243956,680,1424,9742408.607526517,879475.5137707654,167563,2498480.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-06,720.0,-1872.9079021590496,-62.43026340530165,183.74525406401673,-1792.474872315138,66.17725184918278,-1960.894419051233,180.16215487259632,156.0962226970642,3.512978425250219,379061.40837475494,299577.503147617,608,1328,4560908.853773347,551789.6034397812,110021,2386948.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-07,744.0,-1518.4024938189032,-48.980725607061395,253.95411070553646,-1529.4745195024673,-12.191568046023844,-1358.1054011613396,189.3347651212806,-159.2447120299936,8.196399891735979,372319.18398972746,316960.65590937075,613,1357,6740082.630525999,801587.4903086416,113151,2338855.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-08,647.8166666666667,-1443.758389809746,-53.48766578316998,106.10947912042774,-1328.8867316333972,-41.01492835866687,-1054.4603796618653,163.67656764697006,-275.6906705208364,7.118003946060606,318337.9790653356,273961.78011051426,530,1179,1902695.5147883978,325941.5914658154,40930,1940845.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,full,2855.802777777778,-8000.860876181877,-67.23876820996179,829.9739010601888,-7622.760523211432,116.19307316021936,-7351.658301572114,747.0588102684133,-272.77166688876196,25.328652360528377,1443061.3045018748,1249503.0111899406,2431,5288,22946095.60661425,2558794.1989850015,431665,9165128.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-05,743.9861111111111,-3018.7425851414423,-97.38061095682814,286.16505717020567,-2971.924399760441,103.22231771572646,-2978.1981016976806,213.88532262756777,6.067492965004018,6.5012700974816395,373342.73307205434,359003.07202243956,680,1424,9742408.607526517,879475.5137707654,167563,2498480.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-06,720.0,-1925.0158060981303,-64.16719353660434,183.74525406401673,-1792.474872315138,66.17725184918278,-1960.894419051233,180.16215487259632,156.0962226970642,3.512978425250219,379061.40837475494,299577.503147617,608,1328,4560908.853773347,551789.6034397812,110021,2386948.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-07,744.0,-1569.5835738375615,-50.631728188308436,253.95411070553646,-1529.4745195024673,-12.191568046023844,-1358.1054011613396,189.3347651212806,-159.2447120299936,8.196399891735979,372319.18398972746,316960.65590937075,613,1357,6740082.630525999,801587.4903086416,113151,2338855.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-08,647.8166666666667,-1487.5189111047498,-55.10888450927062,106.10947912042774,-1328.8867316333972,-41.01492835866687,-1054.4603796618653,163.67656764697006,-275.6906705208364,7.118003946060606,318337.9790653356,273961.78011051426,530,1179,1902695.5147883978,325941.5914658154,40930,1940845.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,full,2855.802777777778,-8716.813230654132,-73.25559004410289,829.9739010601888,-7622.760523211432,116.19307316021936,-7351.658301572114,747.0588102684133,-272.77166688876196,25.328652360528377,1443061.3045018748,1249503.0111899406,2431,5288,22946095.60661425,2558794.1989850015,431665,9165128.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,2026-05,743.9861111111111,-3203.970758008506,-103.35582485184347,286.16505717020567,-2971.924399760441,103.22231771572646,-2978.1981016976806,213.88532262756777,6.067492965004018,6.5012700974816395,373342.73307205434,359003.07202243956,680,1424,9742408.607526517,879475.5137707654,167563,2498480.0
