arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,full,2855.9938888888887,-5369.842236443528,-45.124821231597025,7939.748292693838,-8200.705411048788,696.1402991294699,-7504.565111919271,4769.010781030796,-711.0252835667636,9.67405849377423,1686811.5479551908,8104517.534492316,13967,14682,5444743067.405985,5315042753.080945,3434148,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-05,744.0,-797.7685226965624,-25.734468474082657,1251.0193506365808,-1234.3721911431126,65.7909846091153,-1168.581206533997,746.6669203695484,-78.47876930541415,2.689613348660006,291081.60520586564,1270454.5652173536,2167,2353,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-06,720.0,-2290.0866014611724,-76.33622004870575,3393.564383456859,-3488.7480947458016,167.86164301252848,-3320.886451733264,2061.3958806756486,-163.87405032320476,1.0637821667062968,698378.9533902253,3504955.9198363717,6016,6196,1514813820.3656383,1482245283.5285828,1405689,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-07,744.0,-1243.089696272489,-40.09966762169319,1717.1359238649272,-1889.5079151408381,209.5028663905232,-1680.0613982603722,1005.2084821605362,-206.9534868661392,3.3728072773136013,359753.3272564613,1707218.621067968,2957,3143,1169225560.1221988,1122272259.885213,783176,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-08,647.9938888888889,-1038.897416013363,-38.47804495050732,1578.0286347354545,-1588.0772100190409,252.98480511730293,-1335.036055391682,955.7394978250603,-261.71897707200696,2.547855701094331,337597.66210263286,1621888.428370632,2827,2990,1145308490.6297534,1122783329.4450593,669716,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,full,2855.9938888888887,-5601.720797970117,-47.07338474158521,7939.748292693838,-8200.705411048788,696.1402991294699,-7504.565111919271,4769.010781030796,-711.0252835667636,9.67405849377423,1686811.5479551908,8104517.534492316,13967,14682,5444743067.405985,5315042753.080945,3434148,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-05,744.0,-837.7822302051499,-27.02523323242419,1251.0193506365808,-1234.3721911431126,65.7909846091153,-1168.581206533997,746.6669203695484,-78.47876930541415,2.689613348660006,291081.60520586564,1270454.5652173536,2167,2353,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-06,720.0,-2386.089683316332,-79.53632277721107,3393.564383456859,-3488.7480947458016,167.86164301252848,-3320.886451733264,2061.3958806756486,-163.87405032320476,1.0637821667062968,698378.9533902253,3504955.9198363717,6016,6196,1514813820.3656383,1482245283.5285828,1405689,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-07,744.0,-1292.5434032557946,-41.69494849212241,1717.1359238649272,-1889.5079151408381,209.5028663905232,-1680.0613982603722,1005.2084821605362,-206.9534868661392,3.3728072773136013,359753.3272564613,1707218.621067968,2957,3143,1169225560.1221988,1122272259.885213,783176,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-08,647.9938888888889,-1085.3054811928987,-40.19687838922797,1578.0286347354545,-1588.0772100190409,252.98480511730293,-1335.036055391682,955.7394978250603,-261.71897707200696,2.547855701094331,337597.66210263286,1621888.428370632,2827,2990,1145308490.6297534,1122783329.4450593,669716,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,full,2855.9938888888887,-6438.606033227937,-54.10604882547152,7939.748292693838,-8200.705411048788,696.1402991294699,-7504.565111919271,4769.010781030796,-711.0252835667636,9.67405849377423,1686811.5479551908,8104517.534492316,13967,14682,5444743067.405985,5315042753.080945,3434148,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-05,744.0,-982.1978277549988,-31.68380089532254,1251.0193506365808,-1234.3721911431126,65.7909846091153,-1168.581206533997,746.6669203695484,-78.47876930541415,2.689613348660006,291081.60520586564,1270454.5652173536,2167,2353,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-06,720.0,-2732.5795063292194,-91.08598354430731,3393.564383456859,-3488.7480947458016,167.86164301252848,-3320.886451733264,2061.3958806756486,-163.87405032320476,1.0637821667062968,698378.9533902253,3504955.9198363717,6016,6196,1514813820.3656383,1482245283.5285828,1405689,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-07,744.0,-1471.0294044221828,-47.45256143297364,1717.1359238649272,-1889.5079151408381,209.5028663905232,-1680.0613982603722,1005.2084821605362,-206.9534868661392,3.3728072773136013,359753.3272564613,1707218.621067968,2957,3143,1169225560.1221988,1122272259.885213,783176,0.0
always_in_w4,4.0,0.0020019011404843745,pessimistic,8.32,2026-08,647.9938888888889,-1252.7992947215912,-46.40041146819177,1578.0286347354545,-1588.0772100190409,252.98480511730293,-1335.036055391682,955.7394978250603,-261.71897707200696,2.547855701094331,337597.66210263286,1621888.428370632,2827,2990,1145308490.6297534,1122783329.4450593,669716,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,full,2855.9938888888887,-3277.8775240791724,-27.545248217777516,5359.542566114437,-6113.72104898764,251.1697887635828,-5862.551260224085,2380.5036209062923,-258.1055925235019,10.52569456005704,739845.3180432848,4027400.9173739823,7191,7906,5444651387.855416,5367603858.513735,3434126,0.0
always_in_w6,6.0,0.0030043540627415766,optimistic,1.984,2026-05,744.0,-472.98039457791805,-15.257432083158646,842.0187563746149,-904.8248600554583,-20.939230315054715,-925.764090370513,371.0335010348235,6.039410101966012,2.961699407835611,137110.22710180463,628467.0669928688,1111,1297,1615414638.9706728,1601137416.6318595,575611,0.0
