range_pct,range_width,rebalance_count,total_transaction_count,rebalances_per_month,avg_period_days,total_rebalance_cost_usd,initial_swap_fee_usd,total_swap_fees_usd,rebalance_only_swap_fees,total_gas_costs_usd,swap_fees_percentage,gas_costs_percentage,cost_percentage_of_deposit,cost_per_day,cost_per_month,cost_per_year,net_deposit_after_costs,avg_cost_per_transaction,cost_efficiency_score
1.0,±0.5%,3336,3337,274.1604839630179,0.10939216861452401,4757.563277255954,4.999999999999999,4674.271757255898,4669.271757255898,83.29151999999482,98.24928192971724,1.75071807028146,47.57563277255954,13.032932160043703,390.9879648013111,4757.020238415952,5242.436722744046,1.4257007123931538,4757.563277255954
2.0,±1.0%,1633,1634,134.2038580070768,0.22340371277029783,2301.5311996230366,4.999999999999999,2260.7465596230413,2255.7465596230413,40.784640000000145,98.22793451565308,1.7720654843471244,23.015311996230366,6.304845199286939,189.14535597860817,2301.268497739733,7698.468800376963,1.4085258259626907,1150.7655998115183
3.0,±1.5%,974,975,80.04565688848305,0.3744017094017094,1378.5066023307452,5.0,1354.1706023307536,1349.1706023307536,24.336000000000084,98.2346112844984,1.7653887155022234,13.785066023307452,3.776299332945769,113.28897998837307,1378.3492565252056,8621.493397669256,1.413852925467431,459.50220077691506
4.0,±2.0%,638,639,52.432370733934484,0.5712702138758476,894.2658830385137,5.0,878.3164430385176,873.3164430385176,15.949440000000054,98.21647674338156,1.7835232566188766,8.942658830385138,2.449763861765133,73.49291585295398,894.1638095442735,9105.734116961487,1.39947712525589,223.56647075962843
5.0,±2.5%,456,457,37.47517406688734,0.7987782640408461,643.7019030911547,5.0,632.2951830911535,627.2951830911535,11.406720000000037,98.22794993377767,1.7720500662221486,6.4370190309115465,1.7633655603455898,52.90096681036769,643.6284295261403,9356.298096908846,1.408538081162264,128.74038061823094
6.0,±3.0%,354,355,29.092569341399383,1.0282863849765258,497.2247687310408,5.0,488.36396873103934,483.36396873103934,8.860800000000028,98.21794879152642,1.7820512084732887,4.972247687310408,1.3621041490178036,40.86312447053411,497.16801439149833,9502.775231268959,1.4006331513550445,82.8707947885068
7.000000000000001,±3.5%,269,270,22.10706540349275,1.3520061728395063,375.3852677614141,5.000000000000001,368.64606776141375,363.64606776141375,6.739200000000021,98.204724431465,1.7952755685349098,3.753852677614141,1.0283353985017623,30.85006195505287,375.34242045314323,9624.614732238586,1.390315806523756,53.626466823059154
8.0,±4.0%,229,230,18.81976943271316,1.5871376811594204,318.0050161895376,5.000000000000002,312.26421618953793,307.26421618953793,5.740800000000017,98.19474545754396,1.8052545424561417,3.1800501618953767,0.8711471736729715,26.134415210189143,317.9687183906346,9681.994983810462,1.3826305051719028,39.7506270236922
9.0,±4.5%,183,184,15.03937906631663,1.9839221014492754,253.9478947716421,5.0,249.35525477164248,244.35525477164248,4.592640000000013,98.19150302303964,1.8084969769605133,2.539478947716421,0.6956682427256489,20.870047281769466,253.91890859486185,9746.052105228358,1.380151602019794,28.21643275240468
10.0,±5.0%,142,143,11.669900696267549,2.5527389277389276,198.96992872925023,5.000000000000001,195.40064872925063,190.40064872925063,3.569280000000009,98.20612088329361,1.7938791167065915,1.9896992872925023,0.5450608708483056,16.35182612544917,198.94721785963154,9801.03007127075,1.39139810300175,19.896992872925022
11.0,±5.5%,126,127,10.354982307955712,2.8743438320209975,173.1284383721284,5.0,169.95851837212868,164.95851837212868,3.1699200000000074,98.16903564209008,1.8309643579100907,1.731284383721284,0.4742703482400503,14.228110447201509,173.10867710761838,9826.871561627871,1.3632160501742392,15.738948942920763
12.0,±6.0%,103,104,8.464787124757448,3.5100160256410255,144.16493133507225,5.0,141.5690913350725,136.5690913350725,2.5958400000000053,98.1993956671984,1.8006043328017685,1.4416493133507224,0.3949273315879162,11.847819947637486,144.1484760295894,9855.835068664928,1.386201262837233,12.013744277922688
13.0,±6.5%,97,98,7.971692729140509,3.7249149659863945,136.02781585562485,5.0,133.581735855625,128.581735855625,2.4460800000000047,98.20177955176753,1.7982204482325792,1.3602781585562485,0.3726364091467865,11.179092274403594,136.01228933857706,9863.972184144375,1.3880389373022943,10.463678142740374
14.000000000000002,±7.0%,87,88,7.149868736445611,4.148200757575758,122.7395489097638,5.0,120.54306890976397,115.54306890976397,2.1964800000000038,98.21045456048185,1.7895454395182937,1.227395489097638,0.3362343538219759,10.087030614659277,122.72553914502122,9877.260451090237,1.3947676012473158,8.767110636411699
15.0,±7.5%,81,82,6.656774340828672,4.451727642276423,113.47695575873594,5.0,111.43023575873602,106.43023575873602,2.046720000000003,98.19635626782987,1.8036437321702101,1.1347695575873593,0.3108602828683555,9.325808486050665,113.46400324694976,9886.523044241265,1.383865314130926,7.565130383915729
16.0,±8.0%,59,60,4.848761556899897,6.084027777777778,85.6927858381523,5.0,84.19518583815231,79.19518583815231,1.4976000000000014,98.25236163656938,1.747638363430632,0.856927858381523,0.23474795800886372,7.042438740265911,85.68300467323526,9914.307214161847,1.4282130973025384,5.355799114884519
17.0,±8.5%,58,59,4.7665791576304075,6.187146892655367,82.04737520393651,5.000000000000001,80.57473520393653,75.57473520393653,1.4726400000000013,98.20513453801587,1.7948654619841469,0.8204737520393652,0.22476167160078486,6.742850148023546,82.03801013428648,9917.952624796064,1.3906334780328222,4.826316188466854
18.0,±9.0%,54,55,4.437849560552448,6.637121212121212,79.59590482021214,5.0,78.22310482021214,73.22310482021214,1.372800000000001,98.27528815320233,1.7247118467976756,0.7959590482021214,0.21804608100503267,6.54138243015098,79.58681956683692,9920.404095179787,1.4471982694584025,4.4219947122340075
19.0,±9.5%,48,49,3.9447551649355095,7.449829931972789,67.0334303050428,5.0,65.8103903050428,60.8103903050428,1.2230400000000003,98.17547752750467,1.8245224724953295,0.6703343030504281,0.1836322711244181,5.508968133732543,67.02577896041261,9932.966569694958,1.3680291898988326,3.528075279212779
20.0,±10.0%,47,48,3.8625727656660196,7.605034722222222,68.76538165943099,5.0,67.567301659431,62.567301659430996,1.1980800000000003,98.2577279859601,1.7422720140399115,0.6876538165943098,0.18837680171514024,5.651304051454207,68.75753262602619,9931.23461834057,1.4326121179048121,3.438269082971549
21.0,±10.5%,45,46,3.6982079671270403,7.9356884057971016,64.94583893817206,5.0,63.79767893817206,58.79767893817206,1.14816,98.23212692487807,1.767873075121933,0.6494583893817206,0.1779134955502944,5.337404866508832,64.93842587585746,9935.054161061827,1.4118660638733056,3.0926589970558123
22.0,±11.0%,36,37,2.958566373701632,9.86599099099099,52.02473576713317,5.0,51.10121576713317,46.10121576713317,0.9235199999999996,98.22484441990488,1.775155580095107,0.5202473576713317,0.14251725355680814,4.275517606704244,52.01879754823497,9947.975264232868,1.406073939652248,2.3647607166878717
23.0,±11.5%,37,38,3.040748772971122,9.606359649122806,51.38500575056924,5.0,50.436525750569245,45.436525750569245,0.9484799999999995,98.1541697112888,1.8458302887112013,0.5138500575056923,0.14076476863527698,4.222943059058309,51.3791405518761,9948.61499424943,1.3522369934360328,2.2341306848073583
24.0,±12.0%,29,30,2.3832895788152038,12.168055555555556,41.274000877606454,5.0,40.52520087760645,35.52520087760645,0.7487999999999997,98.18578285584553,1.8142171441544626,0.4127400087760646,0.11306654731909084,3.3919964195727252,41.26928977146816,9958.725999122393,1.3758000292535484,1.7197500365669356
25.0,±12.5%,27,28,2.218924780276224,13.037202380952381,38.50033502686621,5.000000000000001,37.80145502686621,32.80145502686621,0.6988799999999997,98.18474306908676,1.815256930913222,0.3850033502686621,0.10546833017290139,3.1640499051870417,38.495940513109005,9961.499664973133,1.3750119652452217,1.5400134010746485
26.0,±13.0%,25,26,2.0545599817372446,14.040064102564102,38.40578682763371,5.0,37.75682682763371,32.75682682763371,0.6489599999999998,98.31025464232108,1.6897453576789119,0.38405786827633714,0.1052093235775835,3.156279707327505,38.40140310581798,9961.594213172366,1.4771456472166813,1.4771456472166813
27.0,±13.5%,28,29,2.301107179545714,12.587643678160921,41.17847658985064,5.0,40.45463658985064,35.45463658985064,0.7238399999999997,98.24218849276612,1.7578115072338696,0.4117847658985064,0.11280486681388144,3.384146004416443,41.173776387066724,9958.82152341015,1.4199474686155393,1.5251287625870606
28.000000000000004,±14.0%,24,25,1.9723775824677547,14.601666666666667,35.943497390516086,5.0,35.319497390516084,30.319497390516084,0.6239999999999998,98.26394189407776,1.73605810592223,0.3594349739051609,0.09846409512297523,2.953922853689257,35.93939471988596,9964.056502609485,1.4377398956206435,1.2836963353755744
28.999999999999996,±14.5%,22,23,1.8080127839287752,15.871376811594203,33.36121321956349,5.0,32.787133219563486,27.787133219563486,0.5740799999999998,98.27919927185576,1.7208007281442366,0.3336121321956349,0.09139015149749158,2.7417045449247475,33.357405296584425,9966.638786780437,1.4504875312853691,1.1503866627435686
