liquidityNet,price0,price1,tickIdx
0,0.0000000000002032095266037829872962524572009273,4921029130439.319715019009238611397,-292260
0,0.0000000000002056626073199072489344890188278024,4862332599160.840914546861957542227,-292140
0,0.0000000000002081453008455311056346770976622244,4804336182165.940408227084488465083,-292020
0,0.0000000000002106579646570639944220185805180841,4747031528705.444538054775156097977,-291900
0,0.0000000000002170731292060590046716450219303918,4606742454294.005386035441034440229,-291600
0,0.0000000000002223456377228471214960079501335508,4497502223301.97315256639254201777,-291360
0,0.0000000000002291167268438558939319814631152854,4364587491167.786331741941076276918,-291060
0,0.0000000000002418285243854900665434447625203251,4135161484945.160249171434871748668,-290520
0,0.0000000000002462206285803890887650105444433277,4061398128035.02735505097829665889,-290340
0,0.0000000000002491929256275655302760510881927442,4012955012593.586914828213341529581,-290220
0,0.0000000000002537187825204576100801869005495584,3941371584972.700856049158496680154,-290040
0,0.0000000000002598813805656461783766482404051536,3847909372435.396367151164114333887,-289800
0,0.000000000000264601361819549121276870387860972,3779270042767.098833562778918061651,-289620
0,0.0000000000002661936625021465764883560582575979,3756663440445.11591099233526978518,-289560
0,0.0000000000002776113179564156534481892527775636,3602158612845.164076908541284050161,-289140
0,0.0000000000002809625534129331065229399856446374,3559193165967.17894025526911775049,-289020
0,0.0000000000002843542439170606247929898402535059,3516740197806.494615819583070867692,-288900
0,0.0000000000002930136804017083328365109716954551,3412809936481.620278370925934721188,-288600
0,0.000000000000305581707809900453321350177893085,3272447186603.49501909043386256971,-288180
0,0.0000000000003111317011540140028794755790064062,3214072999604.073619563869173371998,-288000
0,0.000000000000313004009054164205227858685197023,3194847257777.307374545763033516417,-287940
0,0.0000000000003206065912326351530821404536528331,3119087465280.433395824669523637517,-287700
0,0.0000000000003323580990196003572110917150895156,3008802863386.89880730079996472553,-287340
0,0.0000000000003343581417415898673223820825004493,2990804993685.047798928836671235089,-287280
0,0.0000000000003445403463454382935943391558457011,2902417701169.295807261056926851475,-286980
0,0.0000000000003529089174215894624379029512656822,2833592325482.065772602307349087455,-286740
0,0.0000000000003550326295077288813519899084019231,2816642519270.839313538604580051518,-286680
0,0.0000000000003593184703912541025871381809947347,2783046468251.747959424011799927997,-286560
0,0.0000000000003838323234788351494935540861125179,2605304292605.103842633484841166935,-285900
0,0.0000000000003931552608776859053708954901534068,2543524402465.286823300516883425131,-285660
0,0.0000000000004002957703561910474195054534341858,2498152801140.467552649395582576281,-285480
0,0.0000000000004250474033326128890079490970515491,2352678765143.446174679919633783692,-284880
0,0.000000000000430178440277484711031108631443375,2324616731965.819574482590174288437,-284760
0,0.0000000000004763700653254146034002895327226767,2099208310490.473325999505812028701,-283740
0,0.000000000000502799911407488655805291051583667,1988862721158.200449987731808164667,-283200
-80762620027436,0.0000000000005058256276647242378025446610441454,1976965865918.578442479003223652457,-283140
0,0.0000000000007163541028048636690984439243643279,1395957664072.18031479740437126004,-279660
0,0.0000000000007980483639425807527028126873020879,1253056888757.621190202725587794286,-278580
8871664439891,0.0000000000008028508069304522918999655015068727,1245561431050.072971810977729414773,-278520
0,0.000000000000873200067831783467234576872397249,1145212920657.541390378333351019251,-277680
0,0.0000000000008890591799470960377779201144750409,1124784516661.203090639505765951195,-277500
0,0.000000000000910653617339436729152552114730826,1098112367819.498079943809574084362,-277260
0,0.0000000000009327725639397240393946766336862069,1072072698811.304458306937177511476,-277020
0,0.0000000000009964092859029634050036743229348203,1003603653787.492182493981224353778,-276360
