open_time_ms,iso_utc,open,close
1777593600000,2026-05-01T00:00:00+00:00,76346.58000000,76458.05000000
1777597200000,2026-05-01T01:00:00+00:00,76458.06000000,76686.13000000
1777600800000,2026-05-01T02:00:00+00:00,76686.12000000,76592.54000000
1777604400000,2026-05-01T03:00:00+00:00,76592.54000000,77131.08000000
1777608000000,2026-05-01T04:00:00+00:00,77131.08000000,77042.44000000
1777611600000,2026-05-01T05:00:00+00:00,77042.44000000,77165.98000000
1777615200000,2026-05-01T06:00:00+00:00,77165.99000000,76993.48000000
1777618800000,2026-05-01T07:00:00+00:00,76993.49000000,77130.54000000
1777622400000,2026-05-01T08:00:00+00:00,77130.54000000,77377.47000000
1777626000000,2026-05-01T09:00:00+00:00,77377.48000000,77268.55000000
1777629600000,2026-05-01T10:00:00+00:00,77268.56000000,77304.34000000
1777633200000,2026-05-01T11:00:00+00:00,77303.80000000,77463.98000000
1777636800000,2026-05-01T12:00:00+00:00,77463.98000000,77896.01000000
1777640400000,2026-05-01T13:00:00+00:00,77896.01000000,78737.25000000
1777644000000,2026-05-01T14:00:00+00:00,78737.26000000,78358.75000000
1777647600000,2026-05-01T15:00:00+00:00,78358.74000000,78445.89000000
1777651200000,2026-05-01T16:00:00+00:00,78445.88000000,78214.36000000
1777654800000,2026-05-01T17:00:00+00:00,78214.36000000,78552.94000000
1777658400000,2026-05-01T18:00:00+00:00,78552.93000000,78423.90000000
1777662000000,2026-05-01T19:00:00+00:00,78423.91000000,78360.00000000
1777665600000,2026-05-01T20:00:00+00:00,78360.01000000,77880.18000000
1777669200000,2026-05-01T21:00:00+00:00,77880.18000000,78199.99000000
1777672800000,2026-05-01T22:00:00+00:00,78200.00000000,78153.38000000
1777676400000,2026-05-01T23:00:00+00:00,78153.37000000,78231.13000000
1777680000000,2026-05-02T00:00:00+00:00,78231.13000000,78341.75000000
1777683600000,2026-05-02T01:00:00+00:00,78341.75000000,78355.00000000
1777687200000,2026-05-02T02:00:00+00:00,78355.00000000,78353.93000000
1777690800000,2026-05-02T03:00:00+00:00,78353.93000000,78400.00000000
1777694400000,2026-05-02T04:00:00+00:00,78399.99000000,78175.50000000
1777698000000,2026-05-02T05:00:00+00:00,78175.50000000,78174.00000000
1777701600000,2026-05-02T06:00:00+00:00,78174.00000000,78327.80000000
1777705200000,2026-05-02T07:00:00+00:00,78327.80000000,78220.00000000
1777708800000,2026-05-02T08:00:00+00:00,78220.00000000,78315.37000000
1777712400000,2026-05-02T09:00:00+00:00,78315.36000000,78293.57000000
1777716000000,2026-05-02T10:00:00+00:00,78293.57000000,78249.30000000
1777719600000,2026-05-02T11:00:00+00:00,78249.31000000,78143.08000000
1777723200000,2026-05-02T12:00:00+00:00,78143.09000000,78211.24000000
1777726800000,2026-05-02T13:00:00+00:00,78211.24000000,78367.06000000
1777730400000,2026-05-02T14:00:00+00:00,78367.06000000,78423.98000000
1777734000000,2026-05-02T15:00:00+00:00,78423.98000000,78487.67000000
1777737600000,2026-05-02T16:00:00+00:00,78487.67000000,78455.02000000
1777741200000,2026-05-02T17:00:00+00:00,78455.02000000,78398.02000000
1777744800000,2026-05-02T18:00:00+00:00,78398.03000000,78466.62000000
1777748400000,2026-05-02T19:00:00+00:00,78466.63000000,78486.00000000
1777752000000,2026-05-02T20:00:00+00:00,78486.23000000,78451.38000000
1777755600000,2026-05-02T21:00:00+00:00,78451.37000000,78719.78000000
1777759200000,2026-05-02T22:00:00+00:00,78719.78000000,78832.98000000
1777762800000,2026-05-02T23:00:00+00:00,78832.98000000,78686.85000000
1777766400000,2026-05-03T00:00:00+00:00,78686.84000000,78542.32000000
1777770000000,2026-05-03T01:00:00+00:00,78542.33000000,78240.83000000
1777773600000,2026-05-03T02:00:00+00:00,78240.84000000,78171.85000000
1777777200000,2026-05-03T03:00:00+00:00,78171.86000000,78203.08000000
1777780800000,2026-05-03T04:00:00+00:00,78203.07000000,78163.19000000
1777784400000,2026-05-03T05:00:00+00:00,78163.19000000,78249.42000000
1777788000000,2026-05-03T06:00:00+00:00,78249.41000000,78288.30000000
1777791600000,2026-05-03T07:00:00+00:00,78288.30000000,78363.25000000
1777795200000,2026-05-03T08:00:00+00:00,78363.24000000,78387.86000000
1777798800000,2026-05-03T09:00:00+00:00,78387.87000000,78529.57000000
1777802400000,2026-05-03T10:00:00+00:00,78529.57000000,78408.01000000
1777806000000,2026-05-03T11:00:00+00:00,78408.01000000,78656.01000000
1777809600000,2026-05-03T12:00:00+00:00,78656.01000000,78747.09000000
1777813200000,2026-05-03T13:00:00+00:00,78747.09000000,78670.01000000
1777816800000,2026-05-03T14:00:00+00:00,78670.01000000,78741.00000000
1777820400000,2026-05-03T15:00:00+00:00,78741.00000000,78668.36000000
1777824000000,2026-05-03T16:00:00+00:00,78668.36000000,78654.00000000
1777827600000,2026-05-03T17:00:00+00:00,78654.01000000,78725.76000000
1777831200000,2026-05-03T18:00:00+00:00,78725.76000000,78739.67000000
1777834800000,2026-05-03T19:00:00+00:00,78739.68000000,78760.32000000
1777838400000,2026-05-03T20:00:00+00:00,78760.32000000,78915.99000000
1777842000000,2026-05-03T21:00:00+00:00,78915.99000000,78831.59000000
1777845600000,2026-05-03T22:00:00+00:00,78831.60000000,79177.29000000
1777849200000,2026-05-03T23:00:00+00:00,79177.29000000,78568.57000000
1777852800000,2026-05-04T00:00:00+00:00,78568.58000000,78547.14000000
1777856400000,2026-05-04T01:00:00+00:00,78547.15000000,79769.43000000
1777860000000,2026-05-04T02:00:00+00:00,79769.43000000,80173.30000000
1777863600000,2026-05-04T03:00:00+00:00,80173.30000000,80316.31000000
1777867200000,2026-05-04T04:00:00+00:00,80316.30000000,80332.06000000
1777870800000,2026-05-04T05:00:00+00:00,80332.06000000,80027.26000000
1777874400000,2026-05-04T06:00:00+00:00,80027.26000000,79877.90000000
1777878000000,2026-05-04T07:00:00+00:00,79877.91000000,79696.75000000
1777881600000,2026-05-04T08:00:00+00:00,79696.75000000,79708.30000000
1777885200000,2026-05-04T09:00:00+00:00,79708.30000000,79838.48000000
1777888800000,2026-05-04T10:00:00+00:00,79838.49000000,78940.26000000
1777892400000,2026-05-04T11:00:00+00:00,78940.27000000,78793.67000000
1777896000000,2026-05-04T12:00:00+00:00,78793.67000000,78857.18000000
1777899600000,2026-05-04T13:00:00+00:00,78857.18000000,78790.00000000
1777903200000,2026-05-04T14:00:00+00:00,78790.01000000,80216.16000000
1777906800000,2026-05-04T15:00:00+00:00,80216.15000000,80028.85000000
1777910400000,2026-05-04T16:00:00+00:00,80028.85000000,80025.03000000
1777914000000,2026-05-04T17:00:00+00:00,80025.03000000,80390.81000000
1777917600000,2026-05-04T18:00:00+00:00,80390.80000000,80114.91000000
1777921200000,2026-05-04T19:00:00+00:00,80114.91000000,80053.31000000
1777924800000,2026-05-04T20:00:00+00:00,80053.31000000,79936.70000000
1777928400000,2026-05-04T21:00:00+00:00,79936.70000000,80259.17000000
1777932000000,2026-05-04T22:00:00+00:00,80259.18000000,80067.23000000
1777935600000,2026-05-04T23:00:00+00:00,80067.22000000,79861.01000000
1777939200000,2026-05-05T00:00:00+00:00,79861.01000000,80170.66000000
1777942800000,2026-05-05T01:00:00+00:00,80170.66000000,80352.00000000
1777946400000,2026-05-05T02:00:00+00:00,80351.99000000,80554.68000000
1777950000000,2026-05-05T03:00:00+00:00,80554.69000000,80893.08000000
1777953600000,2026-05-05T04:00:00+00:00,80893.08000000,80902.44000000
1777957200000,2026-05-05T05:00:00+00:00,80902.44000000,80970.00000000
1777960800000,2026-05-05T06:00:00+00:00,80969.99000000,80976.00000000
1777964400000,2026-05-05T07:00:00+00:00,80976.00000000,80855.59000000
1777968000000,2026-05-05T08:00:00+00:00,80855.59000000,80815.24000000
1777971600000,2026-05-05T09:00:00+00:00,80815.24000000,80586.02000000
1777975200000,2026-05-05T10:00:00+00:00,80586.02000000,80823.61000000
1777978800000,2026-05-05T11:00:00+00:00,80823.61000000,81014.05000000
1777982400000,2026-05-05T12:00:00+00:00,81014.05000000,81279.41000000
1777986000000,2026-05-05T13:00:00+00:00,81279.40000000,81330.00000000
1777989600000,2026-05-05T14:00:00+00:00,81330.00000000,81336.59000000
1777993200000,2026-05-05T15:00:00+00:00,81336.59000000,81525.19000000
1777996800000,2026-05-05T16:00:00+00:00,81525.19000000,81285.75000000
1778000400000,2026-05-05T17:00:00+00:00,81285.75000000,81270.60000000
1778004000000,2026-05-05T18:00:00+00:00,81270.61000000,81515.00000000
1778007600000,2026-05-05T19:00:00+00:00,81515.00000000,81606.35000000
1778011200000,2026-05-05T20:00:00+00:00,81606.35000000,81646.38000000
1778014800000,2026-05-05T21:00:00+00:00,81646.39000000,81407.11000000
1778018400000,2026-05-05T22:00:00+00:00,81407.11000000,81111.27000000
1778022000000,2026-05-05T23:00:00+00:00,81111.27000000,80905.52000000
1778025600000,2026-05-06T00:00:00+00:00,80905.53000000,81030.01000000
1778029200000,2026-05-06T01:00:00+00:00,81030.00000000,81439.34000000
1778032800000,2026-05-06T02:00:00+00:00,81439.34000000,81363.54000000
1778036400000,2026-05-06T03:00:00+00:00,81363.54000000,81581.69000000
1778040000000,2026-05-06T04:00:00+00:00,81581.70000000,81331.10000000
1778043600000,2026-05-06T05:00:00+00:00,81331.10000000,81333.00000000
1778047200000,2026-05-06T06:00:00+00:00,81333.00000000,81476.71000000
1778050800000,2026-05-06T07:00:00+00:00,81476.71000000,81359.82000000
1778054400000,2026-05-06T08:00:00+00:00,81359.82000000,81945.66000000
1778058000000,2026-05-06T09:00:00+00:00,81945.66000000,81997.00000000
1778061600000,2026-05-06T10:00:00+00:00,81997.00000000,82290.04000000
1778065200000,2026-05-06T11:00:00+00:00,82290.03000000,82522.89000000
1778068800000,2026-05-06T12:00:00+00:00,82522.88000000,82220.47000000
1778072400000,2026-05-06T13:00:00+00:00,82220.47000000,81670.89000000
1778076000000,2026-05-06T14:00:00+00:00,81670.90000000,81526.73000000
1778079600000,2026-05-06T15:00:00+00:00,81526.74000000,81704.25000000
1778083200000,2026-05-06T16:00:00+00:00,81704.25000000,81630.94000000
1778086800000,2026-05-06T17:00:00+00:00,81630.94000000,81452.63000000
1778090400000,2026-05-06T18:00:00+00:00,81452.63000000,81353.14000000
1778094000000,2026-05-06T19:00:00+00:00,81353.15000000,81464.87000000
1778097600000,2026-05-06T20:00:00+00:00,81464.86000000,81427.52000000
1778101200000,2026-05-06T21:00:00+00:00,81427.52000000,81539.16000000
1778104800000,2026-05-06T22:00:00+00:00,81539.16000000,81342.39000000
1778108400000,2026-05-06T23:00:00+00:00,81342.39000000,81447.01000000
1778112000000,2026-05-07T00:00:00+00:00,81447.01000000,81016.96000000
1778115600000,2026-05-07T01:00:00+00:00,81016.96000000,81167.80000000
1778119200000,2026-05-07T02:00:00+00:00,81167.79000000,81113.34000000
1778122800000,2026-05-07T03:00:00+00:00,81113.35000000,80834.91000000
1778126400000,2026-05-07T04:00:00+00:00,80834.92000000,80979.19000000
1778130000000,2026-05-07T05:00:00+00:00,80979.19000000,81088.00000000
1778133600000,2026-05-07T06:00:00+00:00,81088.00000000,81438.61000000
1778137200000,2026-05-07T07:00:00+00:00,81438.62000000,81518.58000000
1778140800000,2026-05-07T08:00:00+00:00,81518.57000000,81231.24000000
1778144400000,2026-05-07T09:00:00+00:00,81231.25000000,80929.00000000
1778148000000,2026-05-07T10:00:00+00:00,80929.00000000,80850.75000000
1778151600000,2026-05-07T11:00:00+00:00,80850.76000000,80866.65000000
1778155200000,2026-05-07T12:00:00+00:00,80866.65000000,81162.01000000
1778158800000,2026-05-07T13:00:00+00:00,81162.00000000,80503.68000000
1778162400000,2026-05-07T14:00:00+00:00,80503.69000000,80171.38000000
1778166000000,2026-05-07T15:00:00+00:00,80171.37000000,79890.63000000
1778169600000,2026-05-07T16:00:00+00:00,79890.00000000,79801.08000000
1778173200000,2026-05-07T17:00:00+00:00,79801.08000000,80094.52000000
1778176800000,2026-05-07T18:00:00+00:00,80094.52000000,80200.59000000
1778180400000,2026-05-07T19:00:00+00:00,80200.60000000,80146.11000000
1778184000000,2026-05-07T20:00:00+00:00,80146.77000000,79879.99000000
1778187600000,2026-05-07T21:00:00+00:00,79880.00000000,79735.01000000
1778191200000,2026-05-07T22:00:00+00:00,79735.00000000,79919.01000000
1778194800000,2026-05-07T23:00:00+00:00,79919.00000000,80006.00000000
1778198400000,2026-05-08T00:00:00+00:00,80006.00000000,79831.99000000
1778202000000,2026-05-08T01:00:00+00:00,79831.98000000,79740.01000000
1778205600000,2026-05-08T02:00:00+00:00,79740.01000000,79488.46000000
1778209200000,2026-05-08T03:00:00+00:00,79488.47000000,79578.85000000
1778212800000,2026-05-08T04:00:00+00:00,79578.84000000,79655.23000000
1778216400000,2026-05-08T05:00:00+00:00,79655.22000000,79600.01000000
1778220000000,2026-05-08T06:00:00+00:00,79600.01000000,79525.76000000
1778223600000,2026-05-08T07:00:00+00:00,79525.77000000,79682.40000000
1778227200000,2026-05-08T08:00:00+00:00,79682.40000000,79886.01000000
1778230800000,2026-05-08T09:00:00+00:00,79886.00000000,79872.72000000
1778234400000,2026-05-08T10:00:00+00:00,79872.72000000,80212.56000000
1778238000000,2026-05-08T11:00:00+00:00,80212.55000000,80231.22000000
1778241600000,2026-05-08T12:00:00+00:00,80231.22000000,80025.82000000
1778245200000,2026-05-08T13:00:00+00:00,80025.81000000,79647.80000000
1778248800000,2026-05-08T14:00:00+00:00,79647.81000000,80150.97000000
1778252400000,2026-05-08T15:00:00+00:00,80150.97000000,80142.14000000
1778256000000,2026-05-08T16:00:00+00:00,80142.13000000,79802.34000000
1778259600000,2026-05-08T17:00:00+00:00,79802.35000000,80060.00000000
1778263200000,2026-05-08T18:00:00+00:00,80060.00000000,80078.40000000
1778266800000,2026-05-08T19:00:00+00:00,80078.39000000,80179.94000000
1778270400000,2026-05-08T20:00:00+00:00,80180.00000000,80133.09000000
1778274000000,2026-05-08T21:00:00+00:00,80133.08000000,80263.99000000
1778277600000,2026-05-08T22:00:00+00:00,80264.00000000,80262.00000000
1778281200000,2026-05-08T23:00:00+00:00,80262.00000000,80193.17000000
1778284800000,2026-05-09T00:00:00+00:00,80193.18000000,80238.76000000
1778288400000,2026-05-09T01:00:00+00:00,80238.75000000,80327.75000000
1778292000000,2026-05-09T02:00:00+00:00,80327.75000000,80417.87000000
1778295600000,2026-05-09T03:00:00+00:00,80417.88000000,80383.95000000
1778299200000,2026-05-09T04:00:00+00:00,80383.96000000,80379.90000000
1778302800000,2026-05-09T05:00:00+00:00,80379.90000000,80379.49000000
1778306400000,2026-05-09T06:00:00+00:00,80379.50000000,80263.92000000
1778310000000,2026-05-09T07:00:00+00:00,80263.93000000,80228.89000000
1778313600000,2026-05-09T08:00:00+00:00,80228.88000000,80407.12000000
1778317200000,2026-05-09T09:00:00+00:00,80407.12000000,80242.53000000
1778320800000,2026-05-09T10:00:00+00:00,80242.54000000,80264.02000000
1778324400000,2026-05-09T11:00:00+00:00,80264.01000000,80345.46000000
1778328000000,2026-05-09T12:00:00+00:00,80345.47000000,80397.97000000
1778331600000,2026-05-09T13:00:00+00:00,80397.97000000,80391.18000000
1778335200000,2026-05-09T14:00:00+00:00,80391.18000000,80332.22000000
1778338800000,2026-05-09T15:00:00+00:00,80332.23000000,80527.92000000
1778342400000,2026-05-09T16:00:00+00:00,80527.92000000,80625.01000000
1778346000000,2026-05-09T17:00:00+00:00,80625.00000000,80812.70000000
1778349600000,2026-05-09T18:00:00+00:00,80812.69000000,80907.65000000
1778353200000,2026-05-09T19:00:00+00:00,80907.66000000,80938.53000000
1778356800000,2026-05-09T20:00:00+00:00,80938.53000000,80805.50000000
1778360400000,2026-05-09T21:00:00+00:00,80805.51000000,80780.83000000
1778364000000,2026-05-09T22:00:00+00:00,80780.83000000,80782.38000000
1778367600000,2026-05-09T23:00:00+00:00,80782.38000000,80678.40000000
1778371200000,2026-05-10T00:00:00+00:00,80678.41000000,80680.04000000
1778374800000,2026-05-10T01:00:00+00:00,80680.03000000,80685.56000000
1778378400000,2026-05-10T02:00:00+00:00,80685.55000000,80777.42000000
1778382000000,2026-05-10T03:00:00+00:00,80777.42000000,80775.00000000
1778385600000,2026-05-10T04:00:00+00:00,80774.99000000,80759.93000000
1778389200000,2026-05-10T05:00:00+00:00,80759.93000000,80700.77000000
1778392800000,2026-05-10T06:00:00+00:00,80700.76000000,80733.75000000
1778396400000,2026-05-10T07:00:00+00:00,80733.75000000,80736.03000000
1778400000000,2026-05-10T08:00:00+00:00,80736.03000000,80830.33000000
1778403600000,2026-05-10T09:00:00+00:00,80830.34000000,80807.96000000
1778407200000,2026-05-10T10:00:00+00:00,80807.95000000,80873.79000000
1778410800000,2026-05-10T11:00:00+00:00,80873.80000000,80821.21000000
1778414400000,2026-05-10T12:00:00+00:00,80821.21000000,80927.72000000
1778418000000,2026-05-10T13:00:00+00:00,80927.71000000,80971.67000000
1778421600000,2026-05-10T14:00:00+00:00,80971.66000000,80990.11000000
1778425200000,2026-05-10T15:00:00+00:00,80990.11000000,81418.01000000
1778428800000,2026-05-10T16:00:00+00:00,81418.01000000,81378.25000000
1778432400000,2026-05-10T17:00:00+00:00,81378.25000000,81476.18000000
1778436000000,2026-05-10T18:00:00+00:00,81476.18000000,81271.96000000
1778439600000,2026-05-10T19:00:00+00:00,81271.96000000,81437.83000000
1778443200000,2026-05-10T20:00:00+00:00,81437.83000000,80734.88000000
1778446800000,2026-05-10T21:00:00+00:00,80734.88000000,80720.47000000
1778450400000,2026-05-10T22:00:00+00:00,80720.47000000,82044.49000000
1778454000000,2026-05-10T23:00:00+00:00,82044.49000000,82210.07000000
1778457600000,2026-05-11T00:00:00+00:00,82210.07000000,81471.13000000
1778461200000,2026-05-11T01:00:00+00:00,81471.13000000,81501.72000000
1778464800000,2026-05-11T02:00:00+00:00,81501.73000000,81169.08000000
1778468400000,2026-05-11T03:00:00+00:00,81169.09000000,80736.01000000
1778472000000,2026-05-11T04:00:00+00:00,80736.00000000,80824.61000000
1778475600000,2026-05-11T05:00:00+00:00,80824.61000000,80832.33000000
1778479200000,2026-05-11T06:00:00+00:00,80832.34000000,80822.86000000
1778482800000,2026-05-11T07:00:00+00:00,80822.86000000,80740.40000000
1778486400000,2026-05-11T08:00:00+00:00,80740.40000000,80767.97000000
1778490000000,2026-05-11T09:00:00+00:00,80767.97000000,80966.57000000
1778493600000,2026-05-11T10:00:00+00:00,80966.58000000,80940.00000000
1778497200000,2026-05-11T11:00:00+00:00,80940.00000000,81196.94000000
1778500800000,2026-05-11T12:00:00+00:00,81196.95000000,81054.65000000
1778504400000,2026-05-11T13:00:00+00:00,81054.65000000,81072.00000000
1778508000000,2026-05-11T14:00:00+00:00,81072.01000000,80953.38000000
1778511600000,2026-05-11T15:00:00+00:00,80953.39000000,81445.90000000
1778515200000,2026-05-11T16:00:00+00:00,81445.89000000,81575.85000000
1778518800000,2026-05-11T17:00:00+00:00,81575.84000000,81941.09000000
1778522400000,2026-05-11T18:00:00+00:00,81941.09000000,81858.96000000
1778526000000,2026-05-11T19:00:00+00:00,81858.97000000,81961.99000000
1778529600000,2026-05-11T20:00:00+00:00,81961.99000000,81821.02000000
1778533200000,2026-05-11T21:00:00+00:00,81821.03000000,81821.18000000
1778536800000,2026-05-11T22:00:00+00:00,81821.18000000,81833.92000000
1778540400000,2026-05-11T23:00:00+00:00,81833.92000000,81745.65000000
1778544000000,2026-05-12T00:00:00+00:00,81745.66000000,81545.20000000
1778547600000,2026-05-12T01:00:00+00:00,81545.20000000,81199.18000000
1778551200000,2026-05-12T02:00:00+00:00,81199.18000000,81249.93000000
1778554800000,2026-05-12T03:00:00+00:00,81249.93000000,81058.80000000
1778558400000,2026-05-12T04:00:00+00:00,81058.79000000,81240.01000000
1778562000000,2026-05-12T05:00:00+00:00,81240.01000000,81224.03000000
1778565600000,2026-05-12T06:00:00+00:00,81224.04000000,81022.44000000
1778569200000,2026-05-12T07:00:00+00:00,81022.44000000,80865.40000000
1778572800000,2026-05-12T08:00:00+00:00,80865.40000000,80843.31000000
1778576400000,2026-05-12T09:00:00+00:00,80843.30000000,80837.15000000
1778580000000,2026-05-12T10:00:00+00:00,80837.15000000,80666.37000000
1778583600000,2026-05-12T11:00:00+00:00,80666.38000000,80784.87000000
1778587200000,2026-05-12T12:00:00+00:00,80784.86000000,80881.26000000
1778590800000,2026-05-12T13:00:00+00:00,80881.25000000,80466.91000000
1778594400000,2026-05-12T14:00:00+00:00,80466.91000000,80540.00000000
1778598000000,2026-05-12T15:00:00+00:00,80540.00000000,80336.01000000
1778601600000,2026-05-12T16:00:00+00:00,80336.01000000,80000.01000000
1778605200000,2026-05-12T17:00:00+00:00,80000.01000000,80527.69000000
1778608800000,2026-05-12T18:00:00+00:00,80527.69000000,80679.12000000
1778612400000,2026-05-12T19:00:00+00:00,80679.11000000,80834.64000000
1778616000000,2026-05-12T20:00:00+00:00,80835.30000000,80696.87000000
1778619600000,2026-05-12T21:00:00+00:00,80696.87000000,80587.44000000
1778623200000,2026-05-12T22:00:00+00:00,80587.45000000,80656.43000000
1778626800000,2026-05-12T23:00:00+00:00,80656.44000000,80504.47000000
1778630400000,2026-05-13T00:00:00+00:00,80504.47000000,80718.00000000
