arm,half_width_ticks,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,full,2855.802777777778,-7677.1142113258775,-64.51802011874028,829.9739010601888,-7622.760523211432,116.19307316021936,-7351.658301572114,747.0588102684133,-271.10222162436776,25.075231330479134,818266.1807038792,1249503.0111899406,2431,2433,22946095.60661425,2558794.1989850015,431665,9165128.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-05,743.9861111111111,-2940.110248438698,-94.84403661399874,286.16505717020567,-2971.924399760441,103.22231771572646,-2978.1981016976806,213.88532262756777,6.273701946262244,6.404990921948706,236242.81326545632,359003.07202243956,680,681,9742408.607526517,879475.5137707654,167563,2498480.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-06,720.0,-1825.7931523053871,-60.8597717435129,183.74525406401673,-1792.474872315138,66.17725184918278,-1960.894419051233,180.16215487259632,168.41954673504333,3.4499594786733456,203383.76340368463,299577.503147617,608,608,4560908.853773347,551789.6034397812,110021,2386948.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-07,744.0,-1495.6676806760695,-48.24734453793773,253.95411070553646,-1529.4745195024673,-12.191568046023844,-1358.1054011613396,189.3347651212806,-171.36911833563462,8.184850385986529,196559.25982528998,316960.65590937075,613,613,6740082.630525999,801587.4903086416,113151,2338855.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-08,647.8166666666667,-1415.5431299057302,-52.44236041740851,106.10947912042774,-1328.8867316333972,-41.01492835866687,-1054.4603796618653,163.67656764697006,-274.4263519700389,7.035430543870627,182080.344209448,273961.78011051426,530,531,1902695.5147883978,325941.5914658154,40930,1940845.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,full,2855.802777777778,-7789.597662816044,-65.46332448526404,829.9739010601888,-7622.760523211432,116.19307316021936,-7351.658301572114,747.0588102684133,-271.10222162436776,25.075231330479134,818266.1807038792,1249503.0111899406,2431,2433,22946095.60661425,2558794.1989850015,431665,9165128.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-05,743.9861111111111,-2972.585508509922,-95.89164520516634,286.16505717020567,-2971.924399760441,103.22231771572646,-2978.1981016976806,213.88532262756777,6.273701946262244,6.404990921948706,236242.81326545632,359003.07202243956,680,681,9742408.607526517,879475.5137707654,167563,2498480.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-06,720.0,-1853.7514233719326,-61.79171411239775,183.74525406401673,-1792.474872315138,66.17725184918278,-1960.894419051233,180.16215487259632,168.41954673504333,3.4499594786733456,203383.76340368463,299577.503147617,608,608,4560908.853773347,551789.6034397812,110021,2386948.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-07,744.0,-1522.6878172635088,-49.11896184720996,253.95411070553646,-1529.4745195024673,-12.191568046023844,-1358.1054011613396,189.3347651212806,-171.36911833563462,8.184850385986529,196559.25982528998,316960.65590937075,613,613,6740082.630525999,801587.4903086416,113151,2338855.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-08,647.8166666666667,-1440.5729136706884,-53.369651796696374,106.10947912042774,-1328.8867316333972,-41.01492835866687,-1054.4603796618653,163.67656764697006,-274.4263519700389,7.035430543870627,182080.344209448,273961.78011051426,530,531,1902695.5147883978,325941.5914658154,40930,1940845.0
