hour_epoch,p0,p1,fees_usd,funding_usd,gamma_pnl_usd,payoff_usd,eth_ntl_usd,exit_ntl_usd,held_optimistic,held_central,held_pessimistic
1777593600,2257.474376496238,2259.3203908127334,0.35952514428933996,0.005091693976038685,-0.03396789352327734,0.3306489447421013,407.3355180830948,324.53959636200386,False,False,False
1777597200,2259.3203908127334,2268.051274192088,0.2522475293122765,0.004472302425004728,-0.7574210346866823,-0.5007012029494011,425.8443397578343,34.353364641738786,False,False,False
1777600800,2268.051274192088,2265.836709039295,0.1786908549216409,0.005329342181856888,-0.0484722634689671,0.1355479336345307,440.328691149944,539.1119608956485,False,False,False
1777604400,2265.836709039295,2282.5932137564114,0.23614229620980506,0.005474890183704103,-2.293274375464192,-2.0516571890706827,437.9912146963282,0.0,False,False,False
1777608000,2282.5932137564114,2280.0196367558187,0.23907607834598926,0.006275200160180789,-0.06463425899240183,0.18071701951376823,502.01601281446307,616.00569691651,True,True,False
1777611600,2280.0196367558187,2283.6871019673704,0.23800326224687776,0.005170400094735582,-0.13137866263132958,0.11179499971028375,413.6320075788465,250.747189258722,True,True,False
1777615200,2283.6871019673704,2278.0693576440567,0.46276935426571697,0.005668041696286715,-0.30788750147898436,0.16054989448301932,453.4433357029372,702.1866179125342,True,True,False
1777618800,2278.0693576440567,2279.3999472849273,0.26824337274548726,0.005515547507117462,-0.017331181983852362,0.25642773826875237,500.38988497323305,441.3115913015288,True,True,False
1777622400,2279.3999472849273,2285.877933151865,0.3430881819647984,0.005316452834499642,-0.40985687242244273,-0.06145223762314467,441.19208266249876,153.3997531236473,True,True,False
1777626000,2285.877933151865,2281.087918744872,0.1067626746665693,0.005720089316989072,-0.22337198127546143,-0.11088921729190306,457.60714535912575,669.5070869693411,True,True,False
1777629600,2281.087918744872,2281.394800463529,0.25608987815381923,0.0028351826888699688,-0.0009196713190191969,0.25800538952366997,467.52019010767424,453.9096575237102,True,True,False
1777633200,2281.394800463529,2285.6437378690234,0.4043874133379491,-0.0009489763661947061,-0.17610114804441113,0.22733728892734323,453.8819428901407,265.3541121924504,True,True,False
1777636800,2285.6437378690234,2301.5491021332227,0.4716565791178792,0.002161432588928078,-2.1766979233136303,-1.702879911606823,467.9944979816127,0.0,False,False,False
1777640400,2301.5491021332227,2317.3618687866383,0.8206742411044163,0.005932225538448086,-2.1499573882503276,-1.3233509216074633,474.57804307584684,0.0,False,False,False
1777644000,2317.3618687866383,2307.906404399657,1.105024994374009,0.002084298380220998,-0.8477475089376156,0.25936178381661423,490.0541663267652,902.3174637919844,True,True,True
1777647600,2307.906404399657,2307.3834536306,1.0739128005254388,0.0062382300195169185,-0.0026093664379034653,1.0775416641070523,499.0584015613535,521.9729176154793,True,True,True
1777651200,2307.3834536306,2302.6964120262833,1.048272888707081,0.0038767660247757615,-0.20990167528728787,0.8422479794445689,420.65603567445334,626.1516097711706,True,True,True
1777654800,2302.6964120262833,2311.9110496184376,0.5709387448255203,0.005300643337012389,-0.8121395898090538,-0.23590020164652103,424.0514669609911,18.630530425215163,True,True,True
1777658400,2311.9110496184376,2304.516981505619,0.3666937661505518,0.005308390192889251,-0.520636897639229,-0.14863474129578796,424.67121543114,748.1080193194613,False,False,False
1777662000,2304.516981505619,2305.7842337737825,0.22578751863140917,0.004743219139982425,-0.015362277149714498,0.2151684606216771,445.3057888000324,389.6545636931168,False,False,False
1777665600,2305.7842337737825,2284.302186881601,0.30584055514610997,0.0053729306783768015,-3.540406507594491,-3.229193021770004,490.947613155775,1006.8856357504204,False,False,False
1777669200,2284.302186881601,2291.635933880117,0.48061937249791903,0.003079629219908496,-0.5229532659420038,-0.039254264224176216,426.1400924210572,100.94692813070985,True,True,True
1777672800,2291.635933880117,2293.1464080460573,0.2700786324743414,-0.0005904367087245244,-0.022069513190340007,0.24741868257527683,506.68214942463266,440.01690377365964,True,True,True
1777676400,2293.1464080460573,2295.380841489525,0.1496887558526653,-0.0003306151108341215,-0.04822474121512682,0.10113339952670436,439.8817334142116,341.2541895973237,True,True,True
1777680000,2295.380841489525,2297.7878127928384,0.19234892166858492,0.00033242146337408466,-0.05584883315919609,0.13683250997276292,442.5205848962788,336.381642094175,True,True,True
1777683600,2297.7878127928384,2298.8331876236225,0.1499898583477737,0.003881318837241448,-0.01051565306543642,0.14335552411957872,437.6423644098287,391.5978003864318,True,True,True
1777687200,2298.8331876236225,2304.2437693791608,0.28760758218298904,0.003340570534999912,-0.2811663330493239,0.009781819668665037,492.9058083602485,254.72188873748388,True,True,True
1777690800,2304.2437693791608,2304.9642210883867,0.2527674337984667,0.004744573913107294,-0.004966961800029229,0.2525450459115448,457.3259608184695,425.6895133099378,True,True,True
1777694400,2304.9642210883867,2300.562515118004,0.133227932064052,0.005320395437297308,-0.18549973252024665,-0.04695140501889733,425.6316349837846,618.8153156099465,True,True,True
1777698000,2300.562515118004,2299.9117190936977,0.10222786298924055,0.003562217390584419,-0.004067251613541795,0.10172282876628318,416.6677260810147,445.29920654275753,True,True,True
1777701600,2299.9117190936977,2305.506146683084,0.2176846260686994,0.0034983791333103725,-0.30031007393863773,-0.07912706873662795,445.3527087839258,199.06612488211283,True,True,True
1777705200,2305.506146683084,2301.6654012227823,0.08572139623459886,0.003070021674301414,-0.14114353251244094,-0.05235211460354067,503.17500767072806,671.575087002172,True,True,True
1777708800,2301.6654012227823,2303.503429740075,0.08837030145439431,0.005868191940592389,-0.032392935047925286,0.061845558347061416,469.4553552473911,388.65375846281177,True,True,True
1777712400,2303.503429740075,2305.8948593941964,0.09530694431788644,0.006123800051244776,-0.05474107070519607,0.046689673663935144,489.90400409958204,384.8737163464862,True,True,True
1777716000,2305.8948593941964,2303.5992840367635,0.0635718317992328,0.006076047940821749,-0.05038738477764165,0.019260494962412902,486.0838352657399,586.7521307126929,True,True,True
1777719600,2303.5992840367635,2301.175509320271,0.09974650592410791,0.005987433409673834,-0.05628603934156451,0.04944789999221724,485.6854758897642,592.0805540629364,True,True,True
1777723200,2301.175509320271,2304.000750635904,0.08100259719725934,0.0031121337993352933,-0.07655017606591141,0.007564554930683226,491.0354848349285,366.82240580047534,True,True,True
1777726800,2304.000750635904,2308.314885112857,0.23697113472147396,0.003012870836549461,-0.17799983071704872,0.06198417484097471,468.0187707261299,278.50346439528215,True,True,True
1777730400,2308.314885112857,2307.4081845527294,0.09255425997836486,0.005067314315347205,-0.00784196552315819,0.08977960877055388,481.11677446234523,520.8448143428736,True,True,True
1777734000,2307.4081845527294,2308.870698054996,0.09378456344964872,0.002715956195709491,-0.020409394122389568,0.07609112552296865,419.5693313522664,355.40483630778397,True,True,True
1777737600,2308.870698054996,2310.263823333371,0.18008461698079883,0.002482850457668484,-0.018495073458340172,0.16407239398012716,456.7085677412412,395.65145171489587,True,True,True
1777741200,2310.263823333371,2306.5842458778493,0.061929994210408755,0.005697267310408026,-0.1290088567617661,-0.06138159524094931,496.93126938813475,657.9455682961062,True,True,True
1777744800,2306.5842458778493,2309.9433256948596,0.14370955693190882,0.005697237339798791,-0.10769414146537715,0.041712652806330464,455.77898718390327,308.3802298190212,True,True,True
1777748400,2309.9433256948596,2311.855282557744,0.04260125694822489,0.005120231005917377,-0.034801227009214286,0.012920260944927986,409.6184804733901,325.81466137030696,True,False,False
1777752000,2311.855282557744,2310.72945308448,0.03940140527602172,0.005338961139298812,-0.012054350874379505,0.03268601554094103,427.1168911439049,476.3972689502663,False,False,False
1777755600,2310.72945308448,2326.5979234637684,0.18720188897217244,0.0059562571792488,-2.1526185079223357,-1.9594603617709145,476.500574339904,0.0,False,False,False
1777759200,2326.5979234637684,2326.9956313402013,0.42180543863253644,0.0061537225572330075,-0.0014847371477784144,0.42647442404199104,492.2978045786406,475.0082551185053,False,False,False
1777762800,2326.9956313402013,2316.4902466739914,0.22706210603759222,0.005937119629679343,-1.038048139031159,-0.8050489133638873,474.96957037434737,931.1334129605319,False,False,False
1777766400,2316.4902466739914,2313.2806965872333,0.37111856048066005,0.005335208919965608,-0.0976208549910117,0.27883291440961394,426.8167135972486,566.9944514921797,False,False,False
1777770000,2313.2806965872333,2304.4222140687343,0.3626313926640192,0.005825062684473088,-0.7466186943417992,-0.37816223899330687,466.005014757847,853.0402704084919,False,False,False
