range_pct,range_width,mode,rebalance_count,avg_period_days,rebalances_per_month,rebalances_per_year,daily_fees_usd,annual_fees_usd,gross_apr,annual_rebalance_cost,rebalance_cost_apr,net_annual_fees,net_apr,alpha,phi_bar,volume_24h_usd,fee_tier,efficiency_score,apr_per_rebalance,net_apr_per_rebalance,capital_usd,strategy
1.0,±0.5%,follow,2390,0.1526732190157535,196.41593425408058,2389.727200091314,2.583930496666372,943.1346312832258,11.789182891040321,19117.81760073051,238.97272000913134,-18174.682969447284,-227.18353711809104,0.85,0.234800408843139,25893.636611195623,0.0005,4.182350480970306e-06,0.004930649473458938,-0.09501611757343832,8000,follow
1.5,±0.8%,follow,1535,0.23765733506944445,126.14998287866682,1534.8247916904465,2.583930496666372,943.1346312832258,11.789182891040321,12278.59833352357,153.48247916904464,-11335.463702240344,-141.6932962780043,0.85,0.234800408843139,25893.636611195623,0.0005,9.765625e-06,0.007675249278021042,-0.09224823976432572,8000,follow
2.0,±1.0%,follow,1044,0.34932216905901115,85.79842483734733,1043.8808355210595,2.583930496666372,943.1346312832258,11.789182891040321,8351.046684168474,104.38808355210591,-7407.912052885248,-92.5989006610656,0.85,0.234800408843139,25893.636611195623,0.0005,1.9138755980861243e-05,0.011281514728268249,-0.08861138819240727,8000,follow
2.5,±1.2%,follow,769,0.47408008658008655,63.19826503823764,768.9122246318914,2.3037963906893326,840.8856826016064,10.511071032520078,6151.29779705513,76.89122246318912,-5310.412114453524,-66.38015143066904,0.85,0.2093447695760706,25893.636611195623,0.0005,3.246753246753247e-05,0.013650741600675427,-0.08620798887099876,8000,follow
3.0,±1.5%,follow,576,0.6326545349508954,47.337061979226114,575.9342540805844,2.3037963906893326,840.8856826016064,10.511071032520078,4607.474032644675,57.593425408058444,-3766.588350043069,-47.082354375538365,0.85,0.2093447695760706,25893.636611195623,0.0005,5.199306759098787e-05,0.0182167608882497,-0.08159853444634033,8000,follow
3.5000000000000004,±1.8%,follow,496,0.7344902749832327,40.76247003766693,495.94338545828106,2.3037963906893326,840.8856826016064,10.511071032520078,3967.547083666248,49.5943385458281,-3126.6614010646417,-39.08326751330802,0.85,0.2093447695760706,25893.636611195623,0.0005,7.042253521126761e-05,0.021149036282736577,-0.07863836521792358,8000,follow
4.0,±2.0%,follow,408,0.8925224123879381,33.53041890195183,407.95342997374735,2.3037963906893326,840.8856826016064,10.511071032520078,3263.6274397899783,40.79534299737473,-2422.741757188372,-30.284271964854653,0.85,0.2093447695760706,25893.636611195623,0.0005,9.779951100244499e-05,0.025699440177310705,-0.07404467473069598,8000,follow
4.5,±2.2%,follow,317,1.1479297693920336,26.051820568428262,316.9638169158772,2.3037963906893326,840.8856826016064,10.511071032520078,2535.7105353270176,31.69638169158772,-1694.8248527254113,-21.185310659067643,0.85,0.2093447695760706,25893.636611195623,0.0005,0.00014150943396226416,0.0330536824922015,-0.06662047377065296,8000,follow
5.0,±2.5%,follow,281,1.2944739952718676,23.09325419472663,280.96792603584066,2.3037963906893326,840.8856826016064,10.511071032520078,2247.7434082867253,28.096792603584063,-1406.857725685119,-17.58572157106399,0.85,0.2093447695760706,25893.636611195623,0.0005,0.0001773049645390071,0.03727330153375914,-0.06236071479100705,8000,follow
5.5,±2.8%,follow,217,1.6745030581039755,17.833580641479283,216.97523113799798,1.8125359468765303,661.5756206099336,8.26969525762417,1735.8018491039836,21.697523113799797,-1074.22622849405,-13.427827856175625,0.85,0.16470419073522213,25893.636611195623,0.0005,0.00025229357798165137,0.0379343819157072,-0.06159554062465883,8000,follow
6.0,±3.0%,follow,200,1.8161276948590384,16.436479853897957,199.9771715557585,1.8125359468765303,661.5756206099336,8.26969525762417,1599.8173724460678,19.99771715557585,-938.2417518361342,-11.728021897951677,0.85,0.16470419073522213,25893.636611195623,0.0005,0.00029850746268656717,0.04114276247574214,-0.058348367651500886,8000,follow
6.5,±3.2%,follow,180,2.0168047882136277,14.792831868508161,179.97945440018265,1.8125359468765303,661.5756206099336,8.26969525762417,1439.835635201461,17.997945440018263,-778.2600145915274,-9.728250182394092,0.85,0.16470419073522213,25893.636611195623,0.0005,0.0003591160220994475,0.045688924075271656,-0.05374723857676294,8000,follow
7.000000000000001,±3.5%,follow,153,2.370400432900433,12.573907088231936,152.98253624015524,1.8125359468765303,661.5756206099336,8.26969525762417,1223.860289921242,15.298253624015523,-562.2846693113083,-7.028558366391355,0.85,0.16470419073522213,25893.636611195623,0.0005,0.0004545454545454546,0.0536993198547024,-0.04563998939215166,8000,follow
7.5,±3.8%,follow,135,2.6841299019607843,11.094623901381121,134.984590800137,1.8125359468765303,661.5756206099336,8.26969525762417,1079.8767264010958,13.498459080013697,-418.3011057911622,-5.228763822389528,0.85,0.16470419073522213,25893.636611195623,0.0005,0.0005514705882352941,0.060806582776648306,-0.038446792811687704,8000,follow
8.0,±4.0%,follow,116,3.1200142450142447,9.533158315260815,115.98675950233992,1.8125359468765303,661.5756206099336,8.26969525762417,927.8940760187193,11.598675950233991,-266.31845540878567,-3.328980692609821,0.85,0.16470419073522213,25893.636611195623,0.0005,0.0006837606837606838,0.07068115604806982,-0.028452826432562573,8000,follow
8.5,±4.2%,follow,110,3.2886636636636637,9.040063919643876,109.98744435566718,1.8125359468765303,661.5756206099336,8.26969525762417,879.8995548453373,10.998744435566717,-218.32393423540373,-2.7290491779425463,0.85,0.16470419073522213,25893.636611195623,0.0005,0.0007657657657657659,0.07450175907769523,-0.02458602863011303,8000,follow
