hour_epoch,p0,p1,u0,u1,fees_usd,fund0_usd,fund1_usd,funding_usd,gamma_pnl_usd,payoff_usd,ntl0_usd,ntl1_usd,enter_ntl_usd,exit_ntl_usd,held_optimistic,held_central,held_pessimistic
1777597200,0.004039500284580962,0.004038416382786574,2260.0,2267.75,0.03131758119693975,0.04350035031754527,0.03852059192512706,0.08202094224267233,-0.001687956217077513,0.11165056722253455,3480.0280254036215,3667.859298540026,7147.887323943647,7171.46021337437,True,True,True
1777600800,0.004038416382786574,0.004031551174514448,2267.75,2266.94,0.19848324965744335,0.04365108925518874,0.04424651520126464,0.08789760445645338,-0.06754444242882474,0.218836411685072,3492.087140415099,3655.80018352857,7147.887323943669,7139.332339541004,True,True,True
1777604400,0.004031551174514448,0.004023604715048219,2266.94,2282.87,0.23038019914507285,0.04460675480091056,0.04474183674838539,0.08934859154929595,-0.0914867312755554,0.22824205941881337,3568.5403840728445,3579.3469398708307,7147.887323943675,7190.941450490565,True,True,True
1777608000,0.004023604715048219,0.004023604715048219,2282.87,2280.11,0.0,0.04234491729418058,0.04700367425511521,0.08934859154929578,-3.0375701953744283e-13,0.08934859154899202,3387.5933835344463,3760.2939404092167,7147.887323943663,7139.24549632576,True,True,True
1777611600,0.004023604715048219,0.004023589976374955,2280.11,2283.26,0.0004274949170870983,0.04234491729418058,0.04700367425511521,0.08934859154929578,-3.138963906579306e-07,0.08977577256999222,3387.593383534446,3760.2939404092167,7147.8873239436625,7157.749791780569,True,True,True
1777615200,0.004023589976374955,0.004023123663064538,2283.26,2277.46,0.013879886605539297,0.042346975098915655,0.04700161645038007,0.08934859154929573,-0.0003130097146755162,0.1029154684401595,3387.758007913252,3760.129316030406,7147.887323943658,7129.338124177373,True,True,True
1777618800,0.004023123663064538,0.004023123663064538,2277.46,2279.5,0.0,0.0424120850709581,0.04138861141259817,0.08380069648355627,5.901945598907332e-13,0.08380069648414647,3392.9668056766477,3754.9205182670144,7147.887323943662,7154.2899348087685,True,True,True
1777622400,0.004023123663064538,0.004021443406187844,2279.5,2286.93,0.04874652548172683,0.0424120850709581,0.04524754322922118,0.08765962830017929,-0.004089181030970224,0.13231697275093587,3392.966805676648,3754.9205182670144,7147.8873239436625,7169.75998773384,True,True,True
1777626000,0.004021443406187844,0.004019643325828441,2286.93,2282.08,0.05224459815433189,0.04264675236106308,0.04670183918823271,0.08934859154929578,-0.004671953128748463,0.1369212365748792,3411.740188885046,3736.1471350586166,7147.8873239436625,7131.199865201204,True,True,True
1777629600,0.004019643325828441,0.004015052897711107,2282.08,2282.53,0.13331147270733418,0.04289825571101567,0.02253510172992664,0.06543335744094231,-0.030490484573317822,0.1682543455749587,3431.8604568812534,3716.026867062421,7147.887323943674,7145.34636128602,True,True,True
1777633200,0.004015052897711107,0.0040074391368076605,2282.53,2286.46,0.22140322963080544,0.04354010203613024,-0.007662111189930142,0.0358779908462001,-0.08422990145526743,0.1730513190217381,3483.208162890419,3664.679161053253,7147.8873239436725,7153.493543763035,True,True,True
1777636800,0.0040074391368076605,0.0040045212032927425,2286.46,2301.37,0.08512680080915871,0.044606244033720745,0.016531402560054746,0.06113764659377549,-0.012470490720900784,0.13379395668203342,3568.4995226976594,3579.3878012460204,7147.88732394368,7191.870936544759,True,True,True
1777640400,0.0040045212032927425,0.004004377489242598,2301.37,2318.22,0.0041884700088014645,0.041645176398049266,0.04770341515124648,0.08934859154929575,-3.0310880671180485e-05,0.09350675067742603,3331.614111843941,3816.2732120997184,7147.88732394366,7200.1017241280515,True,True,True
1777644000,0.004004377489242598,0.003999890068090794,2318.22,2308.03,0.13082439694663356,0.04166533986807003,0.016224512484047098,0.057889852352117126,-0.029226625185931,0.1594876241128197,3333.2271894456017,3814.660134498048,7147.88732394365,7112.719852867982,True,True,True
1777647600,0.003999890068090794,0.003999890068090794,2308.03,2307.64,0.0,0.04229526674802952,0.047053324801266366,0.08934859154929589,4.3876013933186186e-13,0.08934859154973465,3383.621339842361,3764.2659841013096,7147.887323943671,7146.679507729696,True,True,True
1777651200,0.003999890068090794,0.003999890068090794,2307.64,2301.95,0.0,0.04229526674802952,0.03469147530947766,0.07698674205750718,-5.400124791776761e-13,0.07698674205696716,3383.621339842361,3764.2659841013087,7147.88732394367,7130.262616938573,True,True,True
1777654800,0.003999890068090794,0.003997645475996622,2301.95,2311.76,0.06549948308744935,0.04229526674802952,0.04705332480126636,0.08934859154929588,-0.007390223783353633,0.1474578508533916,3383.621339842361,3764.2659841013083,7147.887323943669,7176.434544624036,True,True,True
1777658400,0.003997645475996622,0.003997312023562297,2311.76,2304.77,0.009734681143165521,0.04261059671764639,0.046737994831649386,0.08934859154929578,-0.0001620564031714622,0.09892121628928983,3408.847737411711,3739.03958653195,7147.887323943662,7125.9908276749375,True,True,True
1777662000,0.003997312023562297,0.003991204811188862,2304.77,2304.85,0.1783700690599855,0.04265745555028507,0.03978682433656484,0.08244427988684991,-0.05457580993470612,0.2062385390121293,3412.596444022806,3735.290879920842,7147.887323943648,7142.866808276669,True,True,True
1777665600,0.003991204811188862,0.0039855412670915455,2304.85,2285.18,0.16565607926281306,0.04351633039837246,0.0401270612828565,0.08364339168122896,-0.0466708818533057,0.20262858909073633,3481.3064318697966,3666.580892073876,7147.8873239436725,7081.941474448675,True,True,True
1777669200,0.0039855412670915455,0.0039855412670915455,2285.18,2292.67,0.0,0.044313939042427655,0.026036514138930846,0.0703504531813585,1.474376176702208e-13,0.07035045318150594,3545.1151233942123,3602.772200549461,7147.887323943673,7171.31553356232,True,True,True
