start_utc,end_utc,hours,n_recenters,lp_fees_usd,funding_usd,onchain_cost_usd,rehedge_notional_usd,net_usd,lp_value_abs_gap_usd
2026-05-01 01:00:00+00:00,2026-05-04 08:00:00+00:00,78.985,4,70.55203178414344,6.090984385063961,21.378282674068316,102390.12147136766,-2.9271180177480005,2.842170943040401e-14
2026-05-04 10:00:00+00:00,2026-05-08 14:00:00+00:00,99.98527777777778,15,198.7717510417456,6.125368481909529,32.89273179181833,158786.61611752972,-3.076983914920902,5.684341886080802e-14
2026-05-09 02:00:00+00:00,2026-05-13 06:00:00+00:00,98.8963888888889,11,150.5260873518518,9.181631768366827,33.343431978448216,158840.55536501348,-20.032671079086782,0.0
2026-05-13 13:00:00+00:00,2026-05-22 12:00:00+00:00,214.26416666666665,17,344.1435550315765,14.720269581240943,45.69188199564248,314285.926976741,47.274099289595924,2.2737367544323206e-13
2026-05-22 19:00:00+00:00,2026-05-30 00:00:00+00:00,172.84416666666667,11,282.2211860461205,8.992939599130032,37.00602400472902,247964.01435629235,55.56116520773162,8.526512829121202e-14
2026-05-30 05:00:00+00:00,2026-06-15 10:00:00+00:00,386.42,33,801.5616511253571,19.573063046769818,80.3668462977922,637760.0588835541,137.58631208768162,0.0
2026-06-15 14:00:00+00:00,2026-08-11 09:00:00+00:00,1362.6222222222223,81,1697.7912513101276,88.73738567465458,200.77664999502082,1501881.8531162103,338.61033230709586,2.2737367544323206e-13
2026-08-11 10:00:00+00:00,2026-08-15 00:00:00+00:00,85.77805555555555,12,182.52120104705554,6.31609937833743,32.057607240674145,166700.32686907228,4.269507647714718,4.263256414560601e-14
2026-08-15 13:00:00+00:00,2026-08-19 03:00:00+00:00,85.74194444444444,14,270.61070772043456,4.4048064477850595,39.02084323303698,224604.96483235856,-7.325383475899812,2.842170943040401e-14
2026-08-19 16:00:00+00:00,2026-08-19 21:00:00+00:00,4.9688888888888885,2,39.52711317578625,0.31790516076832576,9.704693084822544,20594.577943872715,8.569512408958902,0.0
2026-08-19 22:00:00+00:00,2026-08-21 02:00:00+00:00,27.942222222222224,4,140.6898540616899,2.3012002616009495,19.65796642307162,107276.85751127722,18.916580789208524,8.526512829121202e-14
2026-08-21 04:00:00+00:00,2026-08-21 07:00:00+00:00,2.588611111111111,0,27.942495856077485,0.2961019753886283,7.910648680483254,23274.666118338435,4.119209130512803,0.0
2026-08-21 09:00:00+00:00,2026-08-21 23:00:00+00:00,13.846944444444444,4,153.5804920288767,3.3391452293819004,17.542404403745806,58132.41684888877,86.60311682017601,5.684341886080802e-14
2026-08-22 17:00:00+00:00,2026-08-28 00:00:00+00:00,126.90805555555555,21,387.36963564251005,13.687214737807237,57.45217485221873,305659.57955923275,20.199388566685244,1.1368683772161603e-13
