call_block_number,call_block_time,contract_address,output_feeProtocol,output_sqrtPriceX96,output_tick
23266115,2025-09-01 05:11:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5242105707750714302500620,-192477
23266153,2025-09-01 05:19:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5240618315366134474117688,-192483
23266202,2025-09-01 05:29:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5244170755399772257718941,-192470
23266294,2025-09-01 05:48:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5251435822222022747650937,-192442
23266489,2025-09-01 06:27:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248973961666797723968368,-192451
23266500,2025-09-01 06:29:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248974193872929051071112,-192451
23266510,2025-09-01 06:31:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248979119742733573146294,-192451
23266524,2025-09-01 06:34:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5249004142599350657266242,-192451
23266525,2025-09-01 06:34:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5249067947045620279885233,-192451
23266546,2025-09-01 06:39:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5249781671785683937238230,-192448
23266633,2025-09-01 06:56:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252586727064368297058725,-192437
23266704,2025-09-01 07:10:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252588537714939848351813,-192437
23266724,2025-09-01 07:14:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5251760129541697658573444,-192441
23266736,2025-09-01 07:17:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5251532736476169358332667,-192441
23266737,2025-09-01 07:17:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5251328967640317865521644,-192442
23266739,2025-09-01 07:17:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5251328967640317865521644,-192442
23266802,2025-09-01 07:30:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5260850939928917264496327,-192406
23266812,2025-09-01 07:32:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5260850939928917264496327,-192406
23266815,2025-09-01 07:33:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5260850939928917264496327,-192406
23266832,2025-09-01 07:36:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5268875779209773979823537,-192376
23266850,2025-09-01 07:40:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5268875779209773979823537,-192376
23266854,2025-09-01 07:40:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5268875779209773979823537,-192376
23266872,2025-09-01 07:44:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5268875779209773979823537,-192376
23266891,2025-09-01 07:48:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5268875779209773979823537,-192376
23266916,2025-09-01 07:53:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5275751589765081259797559,-192349
23266965,2025-09-01 08:03:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5299991792900872279168473,-192258
23266986,2025-09-01 08:07:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017694327476994567323,-192254
23267037,2025-09-01 08:17:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017694327476994567323,-192254
23267042,2025-09-01 08:18:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017694327476994567323,-192254
23267053,2025-09-01 08:20:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017694327476994567323,-192254
23267064,2025-09-01 08:23:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017694327476994567323,-192254
23267070,2025-09-01 08:24:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017694327476994567323,-192254
23267092,2025-09-01 08:28:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017723585598237928532,-192254
23267141,2025-09-01 08:38:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017744567227422487247,-192254
23267158,2025-09-01 08:42:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301017744567227422487247,-192254
23267280,2025-09-01 09:06:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301018135413671053435870,-192254
23267299,2025-09-01 09:10:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301018135413671053435870,-192254
23267303,2025-09-01 09:11:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301018234987535948272365,-192254
23267312,2025-09-01 09:12:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5301019913703673583432338,-192254
23267576,2025-09-01 10:05:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5279562730853435838218024,-192335
