liquidityNet,price0,price1,tickIdx
1390798719,998.8999994840708306534725355405328,0.001001101211849531801643138412323892,69070
36204999515,999.8993491084436486715152469915744,0.001000100661023178079176699528121235,69080
6177948865,1000.899698532268113419129530193465,0.0009991011101975678056006194818439555,69090
3365560390,1001.901048755793706293218490821878,0.0009981025583732500179462212837411855,69100
16931345,1002.903400780270608404399711792142,0.0009971050045517726547295747593927205,69110
0,1003.906755607950701727153943890846,0.0009961084477356815575991879325792686,69120
815790869,1004.911114242088571251574582824053,0.0009951128869285194739815018425662125,69130
294354919,1005.916477686942508137719984309064,0.0009941183211348250607231915409389575,69140
-110526439,1006.922846947775513873571671339421,0.0009931247493601318887292770098344522,69150
9359723,1007.930223030856305437602491258414,0.0009921321706109674485960487391239496,69160
5032993381,1008.938606943460321466959784785932,0.0009911405838948521572378136948173501,69170
1245659633,1009.947999693870729432269634658103,0.0009901499882202983655064684046805116,69180
568401055,1010.958402291379433820069268059608,0.000989160382596809366802906879784904,69190
5654049576,1011.969815746288085323875694556069,0.0009881717660348784066792720824447034,69200
889838000,1012.982241069909091044899669769392,0.0009871841375459876934310606417409552,69210
0,1013.995679274566625703415084583352,0.0009861974961426074096780915075868404,69220
2003379599,1015.010131373597643861794890221232,0.0009852118408381947249333502230531501,69230
15924384685,1016.025598381352893160225681102724,0.0009842271706471928091587214824500625,69240
-115852212,1017.042081313197928566114069964801,0.0009832434845850298473066236294509871,69250
459236224,1018.059581185514127638199003321827,0.0009822607816681180548465597353476414,69260
430611298,1019.078099015699706806385179944682,0.0009812790609138526942756008823437579,69270
19565897972,1020.097635822170738668313750658319,0.0009802983213406110926118182606287066,69280
56120851,1021.118192624362170303687494392899,0.0009793185619677516598696816708229013,69290
-9848464,1022.139770442728842607368683076405,0.0009783397818156129085164430052551982,69300
6350061975,1023.162370298746510642268866627574,0.0009773619799055124739085242624194311,69310
45795466,1024.185993214912865013050828998,0.0009763851552597461357069306288638768,69320
0,1025.21064021474855426166398692245,0.0009754093069015868402707101416946894,69330
224253195,1026.236312322798208285735524767805,0.0009744344338552837240274824228231983,69340
49919199,1027.263010564631462780840581624558,0.0009734605351460611378200599530584404,69350
2311002,1028.290735966843984707675830561571,0.0009724876098001176722281863301413086,69360
0,1029.319489557058498785161814765806,0.0009715156568446251838644169298362465,69370
799774557,1030.349272363925815010500431114975,0.0009705446753077278226431683632415231,69380
0,1031.380085417125857207214978583604,0.0009695746642185410600219640965506909,69390
2815411714,1032.411929747368692602201216762914,0.0009686056226071507182139045715968161,69400
-284495183,1033.444806386395562432818908683058,0.0009676375495046120003703911366386062,69410
0,1034.478716366979913585054352063859,0.0009666704439429485217331340670044014,69420
-2599472868,1035.513660722928431263785434088209,0.0009657043049551513417544759243972167,69430
17980239,1036.549640489082072696181776791614,0.0009647391315751779971850624718826909,69440
83966209,1037.586656701317101869273573193324,0.0009637749228379515361278943288326389,69450
17519775571,1038.62471039654612530272374835981,0.0009628116777793595530577935163811332,69460
45579790745,1039.663802612719128857839114691258,0.0009618493954362532248053200092684762,69470
3653366120,1040.703934388824515583857226857231,0.0009608880748464463475041743743020562,69480
1431276457,1041.745106764890144602546678979705,0.0009599277150487143745011235390529267,69490
498770798,1042.787320781984371032159624871386,0.000958968315082793455227487696833913,69500
0,1043.83057748221708695177634138562,0.0009580098739893794750312273154701056,69510
870120055,1044.874877908740763407082695222295,0.0009570523908101270959686701778767418,69520
-218099274,1045.920223105751493458622414862967,0.0009560958645876487985549193420036561,69530
-11055494,1046.966614118490036273567111679173,0.0009551402943655139244719838662905488,69540
853699376,1048.014051993242862262048037671274,0.0009541856791882477202336751044045087,69550
2409083707,1049.062537777343199259094611752647,0.0009532320181013303818063123297011162,69560
13395375047,1050.112072519172079753225791996311,0.0009522793101511961001842824055643258,69570
