liquidityNet,price0,price1,tickIdx
4982528897377878,0.000000000000000000000000000000000000002939544628336670031698378204689082,340188745685363564484273285553137100000,-887270
172031601064651091831872023,0.000000000000000000000000000000000000002942485496112896546477456124094651,339848743968671120505409564884146600000,-887260
-172031601064640479466384826,0.00000000000000000000000000000000000000294837606118342451018244297389807,339169759640029838435637268218392100000,-887240
0,0.000000000000000000000000000000000000002954278418582885262890650958806081,338492131855223783697272027725930700000,-887220
1809530662,0.000000000000000000000000000000000000003080994181769359689381975052642655,324570557749550159409168872294089200000,-886800
0,0.000000000000000000000000000000002552467194440039330835970929292741,391777807048125514889637681759668.2,-750520
0,0.000000000000000000000000000000002588451236576986624631842157147643,386331403840706523284362016769625.3,-750380
0,0.000000000000000000000000000000002591040852927288583289102317304967,385945284834172635267663078461870.6,-750370
0,0.000000000000000000000000000000003001320382045251035457093324311175,333186688759481778421185949978164.1,-748900
0,0.000000000000000000000000000000003037551366267074647485342947979646,329212539779673203060688369260872,-748780
0,0.000000000000000000000000000000003043632243811485426463288219756073,328554805539751460541355572424083.3,-748760
0,0.000000000000000000000000000000004010988903052688290795074782193302,249315075202257176331596431775248.5,-746000
0,0.000000000000000000000000000000004055351107743166738604040214787333,246587773396643697481255891560009.7,-745890
0,0.0000000000000000000000000000246270743296584899716675694052661,40605716562754503182343906810.5286,-658770
0,0.00000000000000000000000000003111950275982390549788958853237393,32134189537598468173832254238.65527,-656430
0,0.00000000000000000000000000003364386835759613753359239612399241,29723098110215356933839146602.42495,-655650
0,0.00000000000000000000000000003766853654743789954938879946946887,26547354679963455851009686583.74966,-654520
0,0.0000000000000000000000000002485715739362079933973036260562506,4022986153101457849082953807.974877,-635650
0,0.0000000000000000000000000002597523372725091789240971588342769,3849820989101970787100430763.699161,-635210
0,0.000000000000000000000000000268198406188597439576868748599285,3728582933102140829155132799.472052,-634890
0,0.0000000000000000000000000002836452190121296376016343896408368,3525530955475884778289648135.503779,-634330
66772692825304,0.000000000000000000000000001051169605022854571113569813670593,951321266541242847734340512.9434387,-621230
0,0.000000000000000000000000002281572062260588114817927202454812,438294286882701896463601136.8088148,-613480
0,0.000000000000000000000000002283854661304113286432015598262719,437856233561283566208039824.8282559,-613470
89067971597,0.00000000000000000000000000878281798228487107483891794072687,113858672924455575659711711.861462,-600000
351334027182524,0.00000000000000000000000009995056552008735602518657968237775,10004945892967730030854392.14855895,-575680
19733894,0.0000000000000000000000001516620773129845962402962047888291,6593606112464771619359164.953180062,-571510
3171824448,0.0000000000000000000000009998053166075165137214826769814929,1000194721301487048576855.738089086,-552650
-408073002388980,0.00000000000000000000001000105067855530713046393601743448,99989494318256380385635.81959529041,-529620
957335198,0.0000000000000000000001000404908971851465237797221534323,9995952549130655473233.522220140417,-506590
2049524376,0.0000000000000000000009997046853110171870709586851219079,1000295401925510570007.095317877301,-483570
0,0.00000000000000000000288248190391120028501865868613043,346923253409887386416.4240199855043,-472980
0,0.000000000000000000003279350044700228643663217210081463,304938474505368584432.938692286716,-471690
0,0.000000000000000000003492584811914029782642937854202139,286320892362803720899.390497271609,-471060
0,0.000000000000000000003513602259223438685765682594596759,284608195869334315212.487449316275,-471000
0,0.000000000000000000003588164340479033289049604336748886,278694035476228014558.3620008013622,-470790
0,0.000000000000000000003606149187605331903448010674227586,277304112496813064807.9987112409868,-470740
0,0.000000000000000000003620601947981150866215497162711461,276197166760516275717.1365283164063,-470700
0,0.000000000000000000003627850035150055295955371439531004,275645352015946258683.9052300279373,-470680
0,0.000000000000000000003642389768397266841799576759629358,274545027738759111267.7554531706509,-470640
0,0.00000000000000000000366064640798871697089398718548332,273175796989754562076.9209372170308,-470590
0,0.000000000000000000004005367138367954002872059228389052,249665003345352448597.9371183088764,-469690
669468671764520,0.00000000000000000001000004406388801028637721858338356,99999559363061514807.28851207247648,-460540
-666198656674684,0.00000000000000000001003008773689895050682610907760762,99700025187334474162.49698035696365,-460510
31628517774,0.00000000000000000001072509153603882873626298447286088,93239297458652443888.06790560975524,-459840
704149236066,0.00000000000000000001999645187734607502409137586433225,50008871880560832480.08870653276577,-453610
5197394006216,0.00000000000000000002499169831761487833964022277745997,40013287104028893294.2758832070037,-451380
58307144534165,0.0000000000000000001000304217325846097893772223750505,9996958751941890493.774395192154862,-437510
0,0.0000000000000000001019490732881008499463425498287368,9808818930350361588.832556049275777,-437320
0,0.0000000000000000001083612288200931339685372740858117,9228392949107759325.808540567352671,-436710
500053496,0.0000000000000000001087955200245582706852515878018968,9191554944305347367.790389686490766,-436670
0,0.000000000000000000108904364515624587390213714785515,9182368442694776312.826056227539871,-436660
918873289778,0.0000000000000000001232807047609799720330413742092938,8111569462056755432.058351864058874,-435420
-763562261095,0.0000000000000000002000244700590413144618059647347859,4999388323362784272.76251235702908,-430580
-918873289778,0.0000000000000000002351989166417877890143100414884279,4251720264183946545.663700098799114,-428960
40770045875998,0.0000000000000000002998911155803034288748858267436098,3334543599482608597.748680451897393,-426530
0,0.0000000000000000003029049199565412700377219411029647,3301365986869652605.609766406121642,-426430
0,0.0000000000000000003130670268333421102035862334544146,3194204161693270001.144908855021514,-426100
0,0.0000000000000000007129249558376551477022214378857724,1402672177221015401.560931219115069,-417870
62253701057149449,0.0000000000000000009906484361133176021508301306675783,1009439841164411526.597044014230873,-414580
7877922087791724,0.0000000000000000009986050096413982602808358968889504,1001396939075143118.400529660351332,-414500
-68152608290342488,0.0000000000000000009996040641431475715491984630912174,1000396092684148719.852500763708141,-414490
-42915025974609,0.000000000000000001000604118149093065438891743868424,999396246589299915.3216344427830165,-414480
58553944034076,0.000000000000000001100317952824016169727520940961304,908828214093439471.6504822062993525,-413530
-1656382455351586,0.000000000000000001110265011680432425438662005249168,900685862816174195.194625111408449,-413440
-910550931,0.000000000000000002000844393185937853396865688679339,499788990790884710.1939311194558431,-407550
203127894659,0.000000000000000002340960788736483106309502058956583,427175032068667356.6973932191719381,-405980
478023097557,0.000000000000000002443812423869288485864865037570615,409196708484156033.3049020713026511,-405550
-1365758217,0.000000000000000002999810258204975753248346302833209,333354417088492544.0036357246635305,-403500
-40770045875998,0.000000000000000009002425968471380567611645848333837,111081168954039266.9772277362618132,-392510
124385119863083809,0.000000000000000009999037550537377159417827388360015,100009625421024357.6469826329652432,-391460
-18970784550309284,0.00000000000000001000904108885490678944968804305394,99909670778902345.94663233359158225,-391450
-105261556452153796,0.00000000000000001005920910146044558054728073927792,99411394068228989.18335546013065696,-391400
5427676396,0.00000000000000001010962856967161596358690829704079,98915602399078278.38031460164502667,-391350
1310930945852,0.00000000000000001199487822415035276589278533102499,83368916408556050.11671931606385146,-389640
0,0.00000000000000001200687850150934129588778445065453,83285593326716316.37144250124887179,-389630
1823536834,0.00000000000000001299384448654093202230274667186545,76959517334211855.10815736368192435,-388840
-153503964372884,0.00000000000000001999443921663665646635790529872444,50013905824772311.20603204634475627,-384530
-58397741408757,0.00000000000000002001444265575069324892980710893143,49963919415596258.23138560815392018,-384520
0,0.0000000000000000278668440499844728852861987572199,35884939041044986.56226513279210269,-381210
0,0.00000000000000002857226085277775062406487294164687,34998980485045570.34785822198872634,-380960
105784933774,0.00000000000000002979779051753408575801789785257497,33559535208208280.80055314756655247,-380540
-43182594197,0.00000000000000003000709630166463059126795632623819,33325450418357388.20772934228741803,-380470
341461565282372,0.00000000000000005001927088041736272207020443517949,19992294617623102.01627551843316336,-375360
598312108033,0.00000000000000008002866238734156974847029706230312,12495523105958768.43860827627751615,-370660
31814783301519181,0.00000000000000009932269065782732102129523099939984,10068192810493430.01027501124459912,-368500
-31814783301519181,0.00000000000000009942205805561675327036811812422996,10058130152974699.60761379728596851,-368490
20003964741928,0.0000000000000000999203882170701543247337010678061,10007967521378809.55443626964597164,-368440
2595454511749688,0.0000000000000001000203535814544673266492206788803,9997965056038530.017892097451939471,-368430
0,0.0000000000000001001204189561995765577582100145268,9987972587664434.651129513304073251,-368420
-1994901158203194,0.0000000000000001010255243373581214479833772996307,9898488590474071.522196414275760373,-368330
-205761059410712,0.0000000000000001099877451004872071147611876345954,9091922005368672.213211238731903023,-367480
-1310930945852,0.0000000000000001230220185289362821606277537128755,8128626175685678.408878445632293944,-366360
302382,0.0000000000000001299774016606638113258993165383077,7693645104636975.332209392494469593,-365810
-1823536834,0.0000000000000001399600328503599044199829242155245,7144896865444173.26519514675505154,-365070
0,0.0000000000000001427872702863027050701480050349335,7003425431377043.305328859529005551,-364870
0,0.0000000000000001478730525133761697777236625130576,6762557362569781.837611497496303893,-364520
-728702537794688,0.000000000000000149957729708895497601843397702224,6668545875836102.139613262451778928,-364380
0,0.0000000000000001539075584737334780702336961437101,6497406689552964.842189691639065471,-364120
0,0.0000000000000001667254008535426905011377982038892,5997886314146182.753819841354254039,-363320
0,0.0000000000000001927397634802936925470313316872765,5188342986123063.713606739205606205,-361870
318883041553849,0.0000000000000002000043374177967852512527664416284,4999891566906678.512384162621452769,-361500
0,0.0000000000000002083745129172465662199012673534534,4799051409886860.698051694004990508,-361090
-156202625319,0.0000000000000002100481108082489571851799483444879,4760814063749857.104744428234980863,-361010
1213955272698910,0.0000000000000002221457734964827711767396294111645,4501548619451150.514703092093244543,-360450
0,0.0000000000000002273140755268748612444950675432253,4399199643410432.452505619028141775,-360220
23751124191,0.0000000000000002321379028469657840342157283737517,4307784242624257.634134668107531989,-360010
