range_pct,range_width,rebalance_count,total_transaction_count,rebalances_per_month,avg_period_days,total_rebalance_cost_usd,initial_swap_fee_usd,total_swap_fees_usd,rebalance_only_swap_fees,total_gas_costs_usd,swap_fees_percentage,gas_costs_percentage,cost_percentage_of_deposit,cost_per_day,cost_per_month,cost_per_year,net_deposit_after_costs,avg_cost_per_transaction,cost_efficiency_score
1.0,±0.5%,2390,2391,196.41593425408058,0.1526732190157535,3750.624606137395,4.999999999999999,3690.945246137301,3685.945246137301,59.679360000000216,98.40881543030362,1.5911845696938833,37.50624606137395,10.274510963051874,308.2353288915562,3750.196501513934,6249.375393862605,1.5686426625417795,3750.624606137395
2.0,±1.0%,1044,1045,85.79842483734733,0.34932216905901115,1660.1269895936377,5.0,1634.0437895936464,1629.0437895936464,26.08320000000009,98.42884308468619,1.5711569153143325,16.601269895936376,4.547773969894681,136.43321909684045,1659.9374990115587,8339.873010406362,1.5886382675537203,830.0634947968189
3.0,±1.5%,576,577,47.337061979226114,0.6326545349508954,912.5909597060227,5.000000000000001,898.1890397060268,893.1890397060268,14.401920000000048,98.42186470873708,1.5781352912633946,9.125909597060227,2.4999638206762405,74.99891462028721,912.4867945468278,9087.409040293976,1.5816134483639908,304.1969865686742
4.0,±2.0%,408,409,33.53041890195183,0.8925224123879381,649.9210094784535,5.0,639.7123694784523,634.7123694784523,10.208640000000033,98.42924911625902,1.5707508837408148,6.499210094784534,1.7804022631529373,53.41206789458812,649.8468260508221,9350.078990521546,1.589048922930204,162.48025236961337
5.0,±2.5%,281,282,23.09325419472663,1.2944739952718676,456.2587174054543,5.0,449.2199974054532,444.2199974054532,7.038720000000022,98.4572963252018,1.5427036747979685,4.562587174054543,1.2498812028000117,37.49643608400035,456.20663902200425,9543.741282594545,1.6179387142037387,91.25174348109087
6.0,±3.0%,200,201,16.436479853897957,1.8161276948590384,337.6421806760307,5.000000000000001,332.6252206760303,327.6252206760303,5.016960000000014,98.51411929932587,1.4858807006740107,3.3764218067603067,0.9249414834179588,27.748244502538764,337.60364144755493,9662.35781932397,1.6798118441593568,56.27369677933845
7.000000000000001,±3.5%,153,154,12.573907088231936,2.370400432900433,253.7711993435223,5.0,249.9273593435226,244.9273593435226,3.84384000000001,98.48531275024774,1.514687249752373,2.5377119934352232,0.6951842009182211,20.85552602754663,253.7422333351507,9746.228800656478,1.647864930802093,36.25302847764604
8.0,±4.0%,116,117,9.533158315260815,3.1200142450142447,197.34557458932085,5.0,194.4252545893213,189.4252545893213,2.9203200000000065,98.52019990512744,1.4798000948727819,1.9734557458932083,0.5406110934988814,16.21833280496644,197.3230491270917,9802.65442541068,1.686714312729238,24.668196823665106
9.0,±4.5%,108,109,8.875699121104896,3.349006116207951,184.9211023297913,5.0,182.20046232979163,177.20046232979163,2.7206400000000057,98.52875633677132,1.4712436632288577,1.8492110232979129,0.5065753288340362,15.197259865021087,184.89999502442322,9815.078897670208,1.6965238745852413,20.546789147754588
10.0,±5.0%,86,87,7.067686337176121,4.19588122605364,148.74692894069656,5.000000000000001,146.57540894069683,141.57540894069683,2.1715200000000037,98.54012448158477,1.4598755184154155,1.4874692894069657,0.40747931681049165,12.224379504314749,148.72995063582945,9851.253071059304,1.7097348154103054,14.874692894069657
11.0,±5.5%,68,69,5.588403150325305,5.290458937198068,122.56730654421997,5.0,120.84506654422006,115.84506654422006,1.7222400000000022,98.59486183668517,1.4051381633149052,1.2256730654422,0.33576251079343444,10.072875323803034,122.55331643960358,9877.43269345578,1.776337776003188,11.142482413110907
12.0,±6.0%,55,56,4.520031959821938,6.518601190476191,100.9569859070199,5.0,99.55922590701996,94.55922590701996,1.397760000000001,98.61548956969926,1.3845104303008018,1.009569859070199,0.27656291082849876,8.296887324854962,100.94546245240205,9899.04301409298,1.8028033197682125,8.413082158918325
