arm,half_width_ticks,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,full,2855.958888888889,-915.1940328898698,-7.69081686533038,1120.7080838811307,-1540.0469723367294,-4.322225758136182,-1392.1121787652569,419.9265002785042,-147.93479357866482,23.13482285258156,499311.82964292524,696265.0267284283,1440,1442,2778600792.6863995,1041482630.7204212,843510,4695258.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-05,743.9916666666667,-168.83820424518393,-5.4464546895253045,212.08803678932597,-271.27279060733133,39.89404767784606,-341.4760121204856,92.40483937561619,70.20322151351453,5.56377812451665,114981.8002844721,153065.13748907126,318,319,490789517.1213272,233515555.7392917,137246,956592.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-06,720.0,-307.2013985958238,-10.240046619860793,384.0153755079519,-537.7068416159394,1.9027752758692449,-770.6281863780918,126.60906595700493,232.92134475876298,3.241466169410861,151927.08012526628,209729.7050572352,437,437,936242480.4286765,313827560.71668535,294343,1507561.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-07,744.0,-238.80831089203028,-7.703493899742912,292.110749227955,-393.9370150572558,-27.203895425213965,-238.4170936993953,118.0019562834623,-155.57158514058438,8.26233106218329,137050.18174761382,195660.06068566913,405,405,661834118.5032957,270656126.086183,214586,1278990.0
arm_0.1pct,10.0,0.0010004501200209237,optimistic,1.984,2026-08,647.9672222222222,-200.34611915683152,-7.420601991677495,232.49392235589832,-337.1303250562035,-18.91515328663752,-41.590886567283974,82.91063866242092,-295.48777471035805,6.067247496470811,95352.767485573,137810.1234964519,280,281,689734676.6330967,223483388.1782613,197335,952115.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,full,2855.958888888889,-983.8322331388324,-8.267616766891985,1120.7080838811307,-1540.0469723367294,-4.322225758136182,-1392.1121787652569,419.9265002785042,-147.93479357866482,23.13482285258156,499311.82964292524,696265.0267284283,1440,1442,2778600792.6863995,1041482630.7204212,843510,4695258.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-05,743.9916666666667,-184.64424641036908,-5.956332728434043,212.08803678932597,-271.27279060733133,39.89404767784606,-341.4760121204856,92.40483937561619,70.20322151351453,5.56377812451665,114981.8002844721,153065.13748907126,318,319,490789517.1213272,233515555.7392917,137246,956592.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-06,720.0,-328.0861458214916,-10.936204860716385,384.0153755079519,-537.7068416159394,1.9027752758692449,-770.6281863780918,126.60906595700493,232.92134475876298,3.241466169410861,151927.08012526628,209729.7050572352,437,437,936242480.4286765,313827560.71668535,294343,1507561.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-07,744.0,-257.64799635607505,-8.311225688905648,292.110749227955,-393.9370150572558,-27.203895425213965,-238.4170936993953,118.0019562834623,-155.57158514058438,8.26233106218329,137050.18174761382,195660.06068566913,405,405,661834118.5032957,270656126.086183,214586,1278990.0
arm_0.1pct,10.0,0.0010004501200209237,central,3.3586560000000003,2026-08,647.9672222222222,-213.4538445508963,-7.906097860401649,232.49392235589832,-337.1303250562035,-18.91515328663752,-41.590886567283974,82.91063866242092,-295.48777471035805,6.067247496470811,95352.767485573,137810.1234964519,280,281,689734676.6330967,223483388.1782613,197335,952115.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,full,2855.958888888889,-1231.5580081516273,-10.349375934868013,1120.7080838811307,-1540.0469723367294,-4.322225758136182,-1392.1121787652569,419.9265002785042,-147.93479357866482,23.13482285258156,499311.82964292524,696265.0267284283,1440,1442,2778600792.6863995,1041482630.7204212,843510,4695258.0
arm_0.1pct,10.0,0.0010004501200209237,pessimistic,8.32,2026-05,743.9916666666667,-241.69067290542546,-7.796560646598027,212.08803678932597,-271.27279060733133,39.89404767784606,-341.4760121204856,92.40483937561619,70.20322151351453,5.56377812451665,114981.8002844721,153065.13748907126,318,319,490789517.1213272,233515555.7392917,137246,956592.0
