block,timestamp,base_fee_wei
48037327,1782864001,5000000
48042327,1782874001,5000000
48047327,1782884001,5000000
48052327,1782894001,5000000
48057327,1782904001,5000000
48062327,1782914001,5000000
48067327,1782924001,5000000
48072327,1782934001,5000000
48077327,1782944001,5000000
48082327,1782954001,5000000
48087327,1782964001,5000000
48092327,1782974001,5000000
48097327,1782984001,5000000
48102327,1782994001,5000000
48107327,1783004001,5000000
48112327,1783014001,5000000
48117327,1783024001,5000000
48122327,1783034001,5000000
48127327,1783044001,5000000
48132327,1783054001,5000000
48137327,1783064001,5000000
48142327,1783074001,5000000
48147327,1783084001,5000000
48152327,1783094001,5000000
48157327,1783104001,5000000
48162327,1783114001,5000000
48167327,1783124001,5000000
48172327,1783134001,5000000
48177327,1783144001,5000000
48182327,1783154001,5000000
48187327,1783164001,5000000
48192327,1783174001,5000000
48197327,1783184001,5000000
48202327,1783194001,5000000
48207327,1783204001,5000000
48212327,1783214001,5000000
48217327,1783224001,5000000
48222327,1783234001,5000000
48227327,1783244001,5000000
48232327,1783254001,5000000
48237327,1783264001,5000000
48242327,1783274001,5000000
48247327,1783284001,5000000
48252327,1783294001,5000000
48257327,1783304001,5000000
48262327,1783314001,5000000
48267327,1783324001,5000000
48272327,1783334001,5000000
48277327,1783344001,5000000
48282327,1783354001,5000000
48287327,1783364001,5000000
48292327,1783374001,5000000
48297327,1783384001,5000000
48302327,1783394001,5000000
48307327,1783404001,5000000
48312327,1783414001,5000000
48317327,1783424001,5000000
48322327,1783434001,5000000
48327327,1783444001,5000000
48332327,1783454001,5000000
48337327,1783464001,5000000
48342327,1783474001,5000000
48347327,1783484001,5000000
48352327,1783494001,5000000
48357327,1783504001,5000000
48362327,1783514001,5000000
48367327,1783524001,5000000
48372327,1783534001,5000000
48377327,1783544001,5000000
48382327,1783554001,5000000
48387327,1783564001,5000000
48392327,1783574001,5000000
48397327,1783584001,5000000
48402327,1783594001,5000000
48407327,1783604001,5000000
48412327,1783614001,5000000
48417327,1783624001,5000000
48422327,1783634001,5000000
48427327,1783644001,5000000
48432327,1783654001,5000000
48437327,1783664001,5000000
48442327,1783674001,5000000
48447327,1783684001,5000000
48452327,1783694001,10246097
48457327,1783704001,5000000
48462327,1783714001,5000000
48467327,1783724001,5000000
48472327,1783734001,5000000
48477327,1783744001,5000000
48482327,1783754001,5000000
48487327,1783764001,5000000
48492327,1783774001,5000000
48497327,1783784001,5000000
48502327,1783794001,5000000
48507327,1783804001,5000000
48512327,1783814001,5000000
48517327,1783824001,5000000
48522327,1783834001,5000000
48527327,1783844001,5000000
48532327,1783854001,5000000
48537327,1783864001,5000000
48542327,1783874001,5000000
48547327,1783884001,5000000
48552327,1783894001,5000000
48557327,1783904001,5000000
48562327,1783914001,5000000
48567327,1783924001,5000000
48572327,1783934001,5000000
48577327,1783944001,5000000
48582327,1783954001,5000000
48587327,1783964001,5000000
48592327,1783974001,5000000
48597327,1783984001,5000000
48602327,1783994001,5000000
48607327,1784004001,5000000
48612327,1784014001,5000000
48617327,1784024001,5000000
48622327,1784034001,5000000
48627327,1784044001,5000000
48632327,1784054001,5000000
48637327,1784064001,5000000
48642327,1784074001,5000000
48647327,1784084001,5000000
48652327,1784094001,5000000
48657327,1784104001,5000000
48662327,1784114001,5000000
48667327,1784124001,5000000
48672327,1784134001,5000000
48677327,1784144001,5000000
48682327,1784154001,5000000
48687327,1784164001,5000000
48692327,1784174001,5000000
48697327,1784184001,5000000
48702327,1784194001,5000000
48707327,1784204001,5000000
48712327,1784214001,5000000
48717327,1784224001,5000000
48722327,1784234001,5000000
48727327,1784244001,5000000
48732327,1784254001,5000000
48737327,1784264001,5000000
48742327,1784274001,5000000
48747327,1784284001,5000000
