funding_time_ms,iso_utc,funding_rate_8h,mark_price
1583020800000,2020-03-01T00:00:00+00:00,-0.00028419,
1583049600000,2020-03-01T08:00:00+00:00,0.00000000,
1583078400001,2020-03-01T16:00:00.001000+00:00,0.00000000,
1583107200000,2020-03-02T00:00:00+00:00,0.00000000,
1583136000000,2020-03-02T08:00:00+00:00,-0.00103757,
1583164800004,2020-03-02T16:00:00.004000+00:00,-0.00339958,
1583193600000,2020-03-03T00:00:00+00:00,-0.00215893,
1583222400003,2020-03-03T08:00:00.003000+00:00,-0.00038958,
1583251200000,2020-03-03T16:00:00+00:00,0.00000000,
1583280000002,2020-03-04T00:00:00.002000+00:00,0.00000000,
1583308800000,2020-03-04T08:00:00+00:00,0.00000000,
1583337600001,2020-03-04T16:00:00.001000+00:00,-0.00103559,
1583366400000,2020-03-05T00:00:00+00:00,-0.00223640,
1583395200000,2020-03-05T08:00:00+00:00,-0.00031444,
1583424000000,2020-03-05T16:00:00+00:00,0.00000000,
1583452800003,2020-03-06T00:00:00.003000+00:00,0.00000000,
1583481600000,2020-03-06T08:00:00+00:00,0.00000000,
1583510400000,2020-03-06T16:00:00+00:00,0.00000000,
1583539200000,2020-03-07T00:00:00+00:00,0.00000000,
1583568000001,2020-03-07T08:00:00.001000+00:00,0.00000000,
1583596800000,2020-03-07T16:00:00+00:00,0.00000000,
1583625600001,2020-03-08T00:00:00.001000+00:00,0.00000000,
1583654400000,2020-03-08T08:00:00+00:00,0.00000000,
1583683200006,2020-03-08T16:00:00.006000+00:00,0.00000000,
1583712000000,2020-03-09T00:00:00+00:00,-0.00380973,
1583740800000,2020-03-09T08:00:00+00:00,-0.00014454,
1583769600000,2020-03-09T16:00:00+00:00,0.00000000,
1583798400000,2020-03-10T00:00:00+00:00,0.00000000,
1583827200000,2020-03-10T08:00:00+00:00,0.00000000,
1583856000000,2020-03-10T16:00:00+00:00,-0.00149536,
1583884800001,2020-03-11T00:00:00.001000+00:00,-0.00091803,
1583913600000,2020-03-11T08:00:00+00:00,-0.00001674,
1583942400000,2020-03-11T16:00:00+00:00,0.00000000,
1583971200001,2020-03-12T00:00:00.001000+00:00,0.00000000,
1584000000001,2020-03-12T08:00:00.001000+00:00,0.00000000,
1584028800000,2020-03-12T16:00:00+00:00,-0.00225138,
1584057600000,2020-03-13T00:00:00+00:00,-0.00108296,
1584086400000,2020-03-13T08:00:00+00:00,-0.00032812,
1584115200002,2020-03-13T16:00:00.002000+00:00,-0.00025590,
1584144000000,2020-03-14T00:00:00+00:00,-0.00029488,
1584172800001,2020-03-14T08:00:00.001000+00:00,-0.00076993,
1584201600000,2020-03-14T16:00:00+00:00,-0.00101128,
1584230400000,2020-03-15T00:00:00+00:00,-0.00037008,
1584259200000,2020-03-15T08:00:00+00:00,-0.00086663,
1584288000001,2020-03-15T16:00:00.001000+00:00,-0.00063076,
1584316800000,2020-03-16T00:00:00+00:00,-0.00013914,
1584345600000,2020-03-16T08:00:00+00:00,-0.00059713,
1584374400001,2020-03-16T16:00:00.001000+00:00,-0.00167373,
1584403200000,2020-03-17T00:00:00+00:00,-0.00023142,
1584432000000,2020-03-17T08:00:00+00:00,-0.00023393,
1584460800000,2020-03-17T16:00:00+00:00,-0.00076910,
1584489600000,2020-03-18T00:00:00+00:00,-0.00192197,
1584518400000,2020-03-18T08:00:00+00:00,-0.00213865,
1584547200000,2020-03-18T16:00:00+00:00,-0.00034239,
1584576000000,2020-03-19T00:00:00+00:00,0.00000000,
1584604800000,2020-03-19T08:00:00+00:00,0.00000000,
1584633600000,2020-03-19T16:00:00+00:00,-0.00010727,
1584662400000,2020-03-20T00:00:00+00:00,0.00000000,
1584691200000,2020-03-20T08:00:00+00:00,0.00000000,
1584720000000,2020-03-20T16:00:00+00:00,0.00000000,
1584748800000,2020-03-21T00:00:00+00:00,0.00000000,
1584777600000,2020-03-21T08:00:00+00:00,0.00000000,
1584806400000,2020-03-21T16:00:00+00:00,0.00000000,
1584835200000,2020-03-22T00:00:00+00:00,0.00000000,
1584864000001,2020-03-22T08:00:00.001000+00:00,0.00000000,
1584892800000,2020-03-22T16:00:00+00:00,0.00000000,
1584921600000,2020-03-23T00:00:00+00:00,-0.00029747,
1584950400000,2020-03-23T08:00:00+00:00,0.00000000,
1584979200000,2020-03-23T16:00:00+00:00,-0.00035560,
1585008000000,2020-03-24T00:00:00+00:00,0.00000000,
1585036800000,2020-03-24T08:00:00+00:00,0.00000000,
1585065600000,2020-03-24T16:00:00+00:00,0.00000000,
1585094400000,2020-03-25T00:00:00+00:00,0.00000000,
1585123200000,2020-03-25T08:00:00+00:00,0.00000000,
1585152000001,2020-03-25T16:00:00.001000+00:00,0.00000000,
1585180800006,2020-03-26T00:00:00.006000+00:00,0.00000000,
1585209600002,2020-03-26T08:00:00.002000+00:00,0.00000000,
1585238400000,2020-03-26T16:00:00+00:00,0.00000000,
1585267200000,2020-03-27T00:00:00+00:00,0.00000000,
1585296000000,2020-03-27T08:00:00+00:00,0.00000000,
1585324800000,2020-03-27T16:00:00+00:00,0.00000000,
1585353600000,2020-03-28T00:00:00+00:00,0.00000000,
1585382400000,2020-03-28T08:00:00+00:00,0.00000000,
1585411200000,2020-03-28T16:00:00+00:00,-0.00085164,
1585440000000,2020-03-29T00:00:00+00:00,-0.00146773,
1585468800001,2020-03-29T08:00:00.001000+00:00,-0.00075994,
1585497600000,2020-03-29T16:00:00+00:00,-0.00008413,
1585526400000,2020-03-30T00:00:00+00:00,0.00000000,
1585555200000,2020-03-30T08:00:00+00:00,-0.00042167,
1585584000000,2020-03-30T16:00:00+00:00,-0.00106751,
1585612800000,2020-03-31T00:00:00+00:00,-0.00086847,
1585641600001,2020-03-31T08:00:00.001000+00:00,-0.00000045,
1585670400001,2020-03-31T16:00:00.001000+00:00,0.00000000,
1585699200002,2020-04-01T00:00:00.002000+00:00,0.00000000,
1585728000000,2020-04-01T08:00:00+00:00,0.00000000,
1585756800001,2020-04-01T16:00:00.001000+00:00,0.00000000,
1585785600000,2020-04-02T00:00:00+00:00,0.00000000,
1585814400000,2020-04-02T08:00:00+00:00,0.00000000,
1585843200000,2020-04-02T16:00:00+00:00,0.00000000,
1585872000000,2020-04-03T00:00:00+00:00,0.00000000,
1585900800000,2020-04-03T08:00:00+00:00,0.00000000,
1585929600000,2020-04-03T16:00:00+00:00,0.00000000,
1585958400000,2020-04-04T00:00:00+00:00,0.00000000,
1585987200000,2020-04-04T08:00:00+00:00,0.00000000,
1586016000000,2020-04-04T16:00:00+00:00,0.00000000,
1586044800001,2020-04-05T00:00:00.001000+00:00,0.00000000,
1586073600000,2020-04-05T08:00:00+00:00,0.00000000,
1586102400000,2020-04-05T16:00:00+00:00,0.00000000,
1586131200000,2020-04-06T00:00:00+00:00,0.00000000,
1586160000000,2020-04-06T08:00:00+00:00,0.00000000,
1586188800000,2020-04-06T16:00:00+00:00,0.00000000,
1586217600000,2020-04-07T00:00:00+00:00,0.00000000,
1586246400000,2020-04-07T08:00:00+00:00,0.00000000,
1586275200000,2020-04-07T16:00:00+00:00,0.00000000,
1586304000000,2020-04-08T00:00:00+00:00,0.00000000,
1586332800000,2020-04-08T08:00:00+00:00,0.00000000,
1586361600000,2020-04-08T16:00:00+00:00,0.00000000,
1586390400000,2020-04-09T00:00:00+00:00,-0.00006112,
1586419200001,2020-04-09T08:00:00.001000+00:00,0.00000000,
1586448000000,2020-04-09T16:00:00+00:00,0.00000000,
1586476800001,2020-04-10T00:00:00.001000+00:00,0.00000000,
1586505600000,2020-04-10T08:00:00+00:00,0.00000000,
1586534400000,2020-04-10T16:00:00+00:00,0.00000000,
1586563200000,2020-04-11T00:00:00+00:00,-0.00025236,
1586592000000,2020-04-11T08:00:00+00:00,-0.00017544,
1586620800000,2020-04-11T16:00:00+00:00,-0.00056368,
1586649600000,2020-04-12T00:00:00+00:00,-0.00049027,
1586678400006,2020-04-12T08:00:00.006000+00:00,0.00000000,
1586707200001,2020-04-12T16:00:00.001000+00:00,-0.00017472,
1586736000001,2020-04-13T00:00:00.001000+00:00,-0.00122643,
1586764800000,2020-04-13T08:00:00+00:00,-0.00080059,
1586793600000,2020-04-13T16:00:00+00:00,-0.00164580,
1586822400000,2020-04-14T00:00:00+00:00,-0.00114753,
1586851200000,2020-04-14T08:00:00+00:00,-0.00057948,
1586880000000,2020-04-14T16:00:00+00:00,-0.00075944,
1586908800000,2020-04-15T00:00:00+00:00,-0.00075858,
1586937600000,2020-04-15T08:00:00+00:00,-0.00163899,
1586966400000,2020-04-15T16:00:00+00:00,-0.00056334,
1586995200000,2020-04-16T00:00:00+00:00,-0.00063007,
1587024000000,2020-04-16T08:00:00+00:00,-0.00138555,
1587052800000,2020-04-16T16:00:00+00:00,-0.00004836,
1587081600000,2020-04-17T00:00:00+00:00,0.00000000,
1587110400000,2020-04-17T08:00:00+00:00,0.00000000,
1587139200000,2020-04-17T16:00:00+00:00,0.00000000,
1587168000000,2020-04-18T00:00:00+00:00,0.00000000,
1587196800000,2020-04-18T08:00:00+00:00,0.00000000,
1587225600000,2020-04-18T16:00:00+00:00,0.00000000,
1587254400000,2020-04-19T00:00:00+00:00,0.00000000,
1587283200000,2020-04-19T08:00:00+00:00,0.00000000,
1587312000000,2020-04-19T16:00:00+00:00,0.00000000,
1587340800000,2020-04-20T00:00:00+00:00,0.00000000,
1587369600000,2020-04-20T08:00:00+00:00,0.00000000,
1587398400000,2020-04-20T16:00:00+00:00,0.00000000,
1587427200000,2020-04-21T00:00:00+00:00,0.00000000,
1587456000001,2020-04-21T08:00:00.001000+00:00,0.00000000,
1587484800000,2020-04-21T16:00:00+00:00,0.00000000,
1587513600001,2020-04-22T00:00:00.001000+00:00,-0.00000354,
1587542400000,2020-04-22T08:00:00+00:00,-0.00051167,
1587571200000,2020-04-22T16:00:00+00:00,-0.00053015,
