arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,full,2855.9938888888887,-5520.3237977419685,-46.389374872700095,7939.748292693838,-8200.705411048788,696.1402991294699,-7504.565111919271,4769.010781030796,-726.5718071352857,10.924066211824826,2373228.1076727756,8104517.534492316,13967,16824,5444743067.405985,5315042753.080945,3434148,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-05,744.0,-840.6860452501078,-27.118904685487347,1251.0193506365808,-1234.3721911431126,65.7909846091153,-1168.581206533997,746.6669203695484,-88.60679331039607,2.942785791548275,457627.325928909,1270454.5652173536,2167,2911,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-06,720.0,-2320.7190731551577,-77.35730243850526,3393.564383456859,-3488.7480947458016,167.86164301252848,-3320.886451733264,2061.3958806756486,-156.64497091709742,1.2364226932626818,890083.5482826075,3504955.9198363717,6016,6736,1514813820.3656383,1482245283.5285828,1405689,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-07,744.0,-1284.5320807992307,-41.43651873545905,1717.1359238649272,-1889.5079151408381,209.5028663905232,-1680.0613982603722,1005.2084821605362,-213.84207927095747,3.8497363395620416,536319.4622573286,1707218.621067968,2957,3701,1169225560.1221988,1122272259.885213,783176,0.0
always_in_w4,4.0,0.0020019011404843745,optimistic,1.984,2026-08,647.9938888888889,-1074.3865985375296,-39.79247151406715,1578.0286347354545,-1588.0772100190409,252.98480511730293,-1335.036055391682,955.7394978250603,-267.4779636368354,2.895121387451834,489197.7712039213,1621888.428370632,2827,3476,1145308490.6297534,1122783329.4450593,669716,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,full,2855.9938888888887,-5846.561023500071,-49.130870030884964,7939.748292693838,-8200.705411048788,696.1402991294699,-7504.565111919271,4769.010781030796,-726.5718071352857,10.924066211824826,2373228.1076727756,8104517.534492316,13967,16824,5444743067.405985,5315042753.080945,3434148,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-05,744.0,-903.5940601853208,-29.14819548984906,1251.0193506365808,-1234.3721911431126,65.7909846091153,-1168.581206533997,746.6669203695484,-88.60679331039607,2.942785791548275,457627.325928909,1270454.5652173536,2167,2911,1615395196.2883813,1587741880.2220728,575567,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-06,720.0,-2443.074942169955,-81.43583140566517,3393.564383456859,-3488.7480947458016,167.86164301252848,-3320.886451733264,2061.3958806756486,-156.64497091709742,1.2364226932626818,890083.5482826075,3504955.9198363717,6016,6736,1514813820.3656383,1482245283.5285828,1405689,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-07,744.0,-1358.2575574701116,-43.8147599183907,1717.1359238649272,-1889.5079151408381,209.5028663905232,-1680.0613982603722,1005.2084821605362,-213.84207927095747,3.8497363395620416,536319.4622573286,1707218.621067968,2957,3701,1169225560.1221988,1122272259.885213,783176,0.0
always_in_w4,4.0,0.0020019011404843745,central,3.3586560000000003,2026-08,647.9938888888889,-1141.6344636747392,-42.28315667478751,1578.0286347354545,-1588.0772100190409,252.98480511730293,-1335.036055391682,955.7394978250603,-267.4779636368354,2.895121387451834,489197.7712039213,1621888.428370632,2827,3476,1145308490.6297534,1122783329.4450593,669716,0.0
