block,timestamp,base_fee_wei
25433939,1782864011,62476075
25434939,1782876047,72885902
25435939,1782888095,79165088
25436939,1782900131,243989403
25437939,1782912215,301861582
25438939,1782924275,243104463
25439939,1782936347,222569434
25440939,1782948407,72292186
25441939,1782960455,92056594
25442939,1782972491,73928093
25443939,1782984551,127156254
25444939,1782996647,293069692
25445939,1783008707,1086906723
25446939,1783020755,384332596
25447939,1783032815,156505187
25448939,1783044887,144046794
25449939,1783057007,104708803
25450939,1783069067,148478407
25451939,1783081139,147498848
25452939,1783093151,157459025
25453939,1783105223,87445208
25454939,1783117247,64791468
25455939,1783129307,62868123
25456939,1783141319,73895561
25457939,1783153367,60821285
25458939,1783165439,101649586
25459939,1783177487,169238780
25460939,1783189559,107015788
25461939,1783201667,75968744
25462939,1783213715,92538661
25463939,1783225775,67229993
25464939,1783237811,65898895
25465939,1783249895,72805983
25466939,1783261931,65933303
25467939,1783273979,115203427
25468939,1783286063,64665358
25469939,1783298123,111820769
25470939,1783310159,65948709
25471939,1783322207,75739670
25472939,1783334243,168949643
25473939,1783346243,369620793
25474939,1783358339,159577015
25475939,1783370351,105534512
25476939,1783382363,106645849
25477939,1783394375,86316542
25478939,1783406471,62333756
25479939,1783418507,138781232
25480939,1783430531,213712706
25481939,1783442567,210365884
25482939,1783454591,110815051
25483939,1783466615,72251664
25484939,1783478663,152259489
25485939,1783490687,88507835
25486939,1783502735,168530396
25487939,1783514783,198176996
25488939,1783526843,716148595
25489939,1783538879,78552725
25490939,1783550915,100971309
25491939,1783562951,92937871
25492939,1783574975,71841135
25493939,1783587023,64590205
25494939,1783599083,96305316
25495939,1783611131,92774618
25496939,1783623155,62947963
25497939,1783635251,95520038
25498939,1783647335,75683499
25499939,1783659407,67134252
25500939,1783671419,69033259
25501939,1783683491,276983659
25502939,1783695527,159298969
25503939,1783707551,94940482
25504939,1783719575,136997831
25505939,1783731599,95258574
25506939,1783743599,64428335
25507939,1783755611,72334788
25508939,1783767683,148904066
25509939,1783779743,161766554
25510939,1783791779,182637306
25511939,1783803815,103664851
25512939,1783815911,106702371
25513939,1783827959,70042599
25514939,1783840007,57405227
25515939,1783852055,96794658
25516939,1783864103,89997976
25517939,1783876151,84384535
25518939,1783888187,62927459
25519939,1783900223,40943042
25520939,1783912247,113102910
25521939,1783924307,49847253
25522939,1783936451,91018122
25523939,1783948487,105926781
25524939,1783960547,240072004
25525939,1783972595,299972981
25526939,1783984619,106268671
25527939,1783996667,138834136
25528939,1784008691,118195414
25529939,1784020739,174868138
25530939,1784032775,531503214
25531939,1784044835,306025817
25532939,1784056919,179469791
25533939,1784068979,135858607
25534939,1784080991,123098875
25535939,1784093051,83861475
25536939,1784105075,145676254
25537939,1784117087,89809412
25538939,1784129159,237255064
25539939,1784141219,104245155
25540939,1784153255,107444894
25541939,1784165291,181955337
25542939,1784177327,72694403
25543939,1784189375,181026921
